retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
contriever,meta-llama_llama-3,NIL,composer; violinist; accompanist; music educator,Q36834,Q36834;Q1259917;Q29448653;Q16145150,0.25,1.0,0.4,1,3,0,RAG,RAG
contriever,meta-llama_llama-3,NIL,government official; administrator; bureaucrat; courtier; advisor; ceremonial officer,Q82955,Q8985067;Q358832;Q572700;Q1511216;Q2994387,0.0,0.0,0.0,0,5,1,RAG,RAG
contriever,meta-llama_llama-3,NIL,organist; musician; harmonium player,Q36834,Q765778;Q639669;Q54844699,0.0,0.0,0.0,0,3,1,RAG,RAG
contriever,meta-llama_llama-3,NIL,conductor; composer; organist; musician,Q36834;Q13424456,Q158852;Q36834;Q765778;Q639669,0.25,0.5,0.3333333333333333,1,3,1,RAG,RAG
contriever,meta-llama_llama-3,NIL,musician; composer; violinist; manager; conductor; artist,Q36834;Q1259917;Q2675537;Q3153559,Q639669;Q36834;Q1259917;Q721834;Q158852;Q483501,0.3333333333333333,0.5,0.4,2,4,2,RAG,RAG
contriever,meta-llama_llama-3,NIL,composer,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834,1.0,0.14285714285714285,0.25,1,0,6,RAG,RAG
contriever,meta-llama_llama-3,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
contriever,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
contriever,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,,0.0,0.0,0.0,0,0,7,RAG,RAG
contriever,meta-llama_llama-3,NIL,composer; conductor; pianist; organist; music director; violinist; music educator,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q1198887;Q1259917;Q16145150,0.7142857142857143,0.5555555555555556,0.6250000000000001,5,2,4,RAG,RAG
contriever,meta-llama_llama-3,NIL,composer; musician; opera composer; recuder; music arranger,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q639669;Q21680731;Q1643514,0.25,0.2,0.22222222222222224,1,3,4,RAG,RAG
contriever,meta-llama_llama-3,NIL,composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
contriever,meta-llama_llama-3,NIL,lyricist; songwriter; poet; librettist; writer,Q49757;Q753110,Q822146;Q753110;Q49757;Q8178443;Q36180,0.4,1.0,0.5714285714285715,2,3,0,RAG,RAG
contriever,meta-llama_llama-3,NIL,composer; arranger; musician,Q36834;Q158852,Q36834;Q1643514;Q639669,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
contriever,meta-llama_llama-3,NIL,composer,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834,1.0,0.14285714285714285,0.25,1,0,6,RAG,RAG
contriever,meta-llama_llama-3,NIL,musician; violinist,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q639669;Q1259917,0.0,0.0,0.0,0,2,6,RAG,RAG
contriever,meta-llama_llama-3,NIL,musician; organist; harpist,Q36834;Q16145150,Q639669;Q765778;Q3127709,0.0,0.0,0.0,0,3,2,RAG,RAG
contriever,meta-llama_llama-3,NIL,composer; organist,Q36834;Q765778;Q1622272;Q16145150,Q36834;Q765778,1.0,0.5,0.6666666666666666,2,0,2,RAG,RAG
contriever,meta-llama_llama-3,NIL,composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
contriever,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; pianist; music educator; violinist; harpsichordist; musicologist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
contriever,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q765778;Q14915627;Q16145150;Q21680663,,0.0,0.0,0.0,0,0,5,RAG,RAG
