retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; virtuoso,Q36834,Q36834;Q214970,0.5,1.0,0.6666666666666666,1,1,0,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,official; courtier; royal servant; manager; administrator,Q82955,Q599151;Q1511216;Q721834;Q358832,0.0,0.0,0.0,0,4,1,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,organist; musician,Q36834,Q765778;Q639669,0.0,0.0,0.0,0,2,1,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,conductor,Q36834;Q13424456,Q158852,0.0,0.0,0.0,0,1,2,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,: theatre manager; impresario; lessee,Q36834;Q1259917;Q2675537;Q3153559,Q1776724;Q3029406,0.0,0.0,0.0,0,2,4,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; harpsichordist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q5371902,1.0,0.2857142857142857,0.4444444444444445,2,0,5,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; conductor; organist; harpsichordist; violinist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q765778;Q5371902;Q1259917,0.8,0.5714285714285714,0.6666666666666666,4,1,3,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; conductor; virtuoso; organist; violinist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q214970;Q765778;Q1259917,0.6,0.3333333333333333,0.42857142857142855,3,2,6,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,;composer,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834,1.0,0.2,0.33333333333333337,1,0,4,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer,Q36834;Q486748;Q765778,Q36834,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,: lyricist; librettist; poet,Q49757;Q753110,Q822146;Q8178443;Q49757,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:composer; arranger,Q36834;Q158852,Q36834;Q1643514,0.5,0.5,0.5,1,1,1,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; organist; harpsichordist; musician,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q765778;Q5371902;Q639669,0.75,0.42857142857142855,0.5454545454545454,3,1,4,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,: musician; organist; performer,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q639669;Q765778;Q713200,0.0,0.0,0.0,0,3,6,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,;singer; choral conductor; composer; musician,Q36834;Q16145150,Q177220;Q1076502;Q36834;Q639669,0.25,0.5,0.3333333333333333,1,3,1,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; organist; pianist,Q36834;Q765778;Q1622272;Q16145150,Q36834;Q765778;Q486748,0.6666666666666666,0.5,0.5714285714285715,2,1,2,RAG,RAG
bge-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,;composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
