question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,source_file,source_approach,model,retriever,document,retrieved_context_ids,retrieved_context_texts,complete_prompt,vote_count,unique_qids,all_qids_voted,source_approaches,voting_algorithm,threshold,multi_valued_support,TP,FP,FN,entity_type,TN,precision,recall,f1
What is the occupation of A. Randegger?,composer; teacher; conductor; music educator,"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",A. Randegger,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""A. Randegger""
Sentence: ""G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.""
Question: ""What is the occupation of A. Randegger?""

Answer:",singer; vocalist; choral director; opera coach; conductor,Q4712167,person,Q36834;Q37226;Q158852;Q16145150,,0,QA_occupation_QID_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,18,11,Q177220;Q2643890;Q106807311;Q228422;Q177220;Q16145150;Q228422;Q639669;Q847689;Q1251441;Q177220;Q639669;Q2675537;Q36834;Q228422;Q177220;Q20971450;Q639669,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,0.5371900826446281,0.11304347826086956,0.1867816091954023
What is the occupation of Abel?,composer; viol player,"Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.",Abel,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Abel""
Sentence: ""Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.""
Question: ""What is the occupation of Abel?""

Answer:",musician; solo performer; composer,Q168539,person,Q36834;Q19760296,,0,QA_occupation_QID_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,16,7,Q639669;Q36834;Q36834;Q11615883;Q1371914;Q2675537;Q639669;Q36834;Q36834;Q639669;Q2675537;Q1259917;Q639669;Q11615883;Q36834;Q37226,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,0.5371900826446281,0.11304347826086956,0.1867816091954023
What is the occupation of Addison?,writer; poet; politician; playwright; editor; journalist; correspondent; librettist; essayist,"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Addison,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Addison""
Sentence: ""Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.""
Question: ""What is the occupation of Addison?""

Answer:",writer; essayist; poet; playwright; journalist,Q206384,person,Q36180;Q49757;Q82955;Q214917;Q1607826;Q1930187;Q3589290;Q8178443;Q11774202,,0,QA_occupation_QID_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,27,8,Q12010805;Q11774202;Q49757;Q214917;Q1930187;Q12010805;Q11774202;Q4263842;Q12010805;Q11774202;Q4263842;Q12010805;Q11774202;Q12010805;Q11774202;Q4263842;Q82955;Q49757;Q319544;Q214917;Q1930187;Q11774202;Q12010805;Q4263842;Q12010805;Q4263842;Q11774202,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,0.5371900826446281,0.11304347826086956,0.1867816091954023
What is the occupation of Adelaide Phillips?,actor; stage actor; opera singer,"A pleasing ballad, with fine melody, sung by Adelaide Phillips.",Adelaide Phillips,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Adelaide Phillips""
Sentence: ""A pleasing ballad, with fine melody, sung by Adelaide Phillips.""
Question: ""What is the occupation of Adelaide Phillips?""

Answer:",singer; vocalist,Q4681758,person,Q33999;Q2259451;Q2865819,Q177220,0,QA_occupation_QID_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,14,4,Q177220;Q2643890;Q177220;Q2643890;Q177220;Q2643890;Q177220;Q2865819;Q177220;Q2643890;Q177220;Q11615883;Q177220;Q11615883,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,1,1,QID,0,0.5371900826446281,0.11304347826086956,0.1867816091954023
What is the occupation of Adelina Patti?,composer; opera singer,Adelina Patti — for that will continue to be her professional.,Adelina Patti,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Adelina Patti""
Sentence: ""Adelina Patti — for that will continue to be her professional.""
Question: ""What is the occupation of Adelina Patti?""

Answer:",opera singer; vocalist,Q234166,person,Q36834;Q2865819,Q2865819,0,QA_occupation_QID_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,43,5,Q2865819;Q2643890;Q2865819;Q2643890;Q2865819;Q11615883;Q2865819;Q2865819;Q2643890;Q177220;Q2865819;Q2865819;Q2643890;Q2865819;Q2643890;Q2865819;Q2865819;Q2865819;Q2865819;Q11615883;Q2865819;Q2643890;Q2865819;Q11615883;Q177220;Q2865819;Q2643890;Q2865819;Q2643890;Q2865819;Q2643890;Q2865819;Q177220;Q2865819;Q2643890;Q2865819;Q11615883;Q177220;Q2865819;Q2865819;Q21169216;Q2865819;Q11615883,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,QID,0,0.5371900826446281,0.11304347826086956,0.1867816091954023
What is the occupation of Adolphe Adam?,composer; pianist; music critic; critic; music educator,"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",Adolphe Adam,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Adolphe Adam""
Sentence: ""Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.""
Question: ""What is the occupation of Adolphe Adam?""

Answer:",composer,Q189544,person,Q36834;Q486748;Q1350157;Q6430706;Q16145150,,0,QA_occupation_QID_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,18,6,Q36834;Q36834;Q1350157;Q36834;Q1350157;Q12010805;Q36834;Q1350157;Q482980;Q36834;Q1350157;Q20669622;Q36834;Q1350157;Q36834;Q1350157;Q12010805;Q639669,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,0.5371900826446281,0.11304347826086956,0.1867816091954023
What is the occupation of Agazzari?,composer; organist; musicologist; music theorist,"The first chapter in the volume begins by mentioning Emilio del Cavalieri’s ‘Rappresentatione di anima e di corpo,’ with which the new style of music made its entry into Rome in the year 1600, and then he goes on to show how varied melody, choral polyphony, the lied form, the aria, new tonality, and a feeling for unity were. gradually introduced and developed by such composers as Agazzari, Marco da Gagliano, Stefano Landi (whose works show important advance in form, instrumentation, and characterisation), Michelangelo, Rossi, & c.",Agazzari,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Agazzari""
Sentence: ""The first chapter in the volume begins by mentioning Emilio del Cavalieri’s ‘Rappresentatione di anima e di corpo,’ with which the new style of music made its entry into Rome in the year 1600, and then he goes on to show how varied melody, choral polyphony, the lied form, the aria, new tonality, and a feeling for unity were. gradually introduced and developed by such composers as Agazzari, Marco da Gagliano, Stefano Landi (whose works show important advance in form, instrumentation, and characterisation), Michelangelo, Rossi, & c.""
Question: ""What is the occupation of Agazzari?""

Answer:",composer,Q395563,person,Q36834;Q765778;Q14915627;Q16031530,,0,QA_occupation_QID_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,15,4,Q36834;Q36834;Q639669;Q36834;Q16031530;Q36834;Q639669;Q12010805;Q16031530;Q36834;Q639669;Q36834;Q16031530;Q36834;Q16031530,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,0.5371900826446281,0.11304347826086956,0.1867816091954023
What is the occupation of Alberto Randegger?,composer; teacher; conductor; music educator,", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",Alberto Randegger,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Alberto Randegger""
Sentence: "", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].""
Question: ""What is the occupation of Alberto Randegger?""

Answer:",conductor; pianist; composer; vocal coach; musical director,Q4712167,person,Q36834;Q37226;Q158852;Q16145150,,0,QA_occupation_QID_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,26,7,Q228422;Q486748;Q36834;Q20971450;Q1198887;Q228422;Q36834;Q1198887;Q228422;Q1198887;Q36834;Q486748;Q20971450;Q228422;Q36834;Q639669;Q20971450;Q228422;Q639669;Q11615883;Q228422;Q486748;Q36834;Q1198887;Q228422;Q1198887,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,0.5371900826446281,0.11304347826086956,0.1867816091954023
What is the occupation of Albinoni?,writer; composer; playwright; violinist; chef de chant,"Immediately in their footsteps appeared those great harmonists Gaetano Greco, Albinoni Caldara,",Albinoni,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Albinoni""
Sentence: ""Immediately in their footsteps appeared those great harmonists Gaetano Greco, Albinoni Caldara,""
Question: ""What is the occupation of Albinoni?""

Answer:",composer; musician,Q174606,person,Q36180;Q36834;Q214917;Q1259917;Q2962003,,0,QA_occupation_QID_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,19,6,Q36834;Q639669;Q36834;Q639669;Q36834;Q1259917;Q177220;Q36834;Q14915627;Q16145150;Q36834;Q1259917;Q177220;Q36834;Q1259917;Q177220;Q36834;Q639669;Q1259917,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,0.5371900826446281,0.11304347826086956,0.1867816091954023
What is the occupation of Alessandro Scarlatti?,composer; harpsichordist,"He was born in Naples, where he studied the rudiments of music under Alessandro Scarlatti and Nicolo Porpora.",Alessandro Scarlatti,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Alessandro Scarlatti""
Sentence: ""He was born in Naples, where he studied the rudiments of music under Alessandro Scarlatti and Nicolo Porpora.""
Question: ""What is the occupation of Alessandro Scarlatti?""

Answer:",composer; music teacher,Q183087,person,Q36834;Q5371902,,0,QA_occupation_QID_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,17,6,Q36834;Q2675537;Q36834;Q2675537;Q36834;Q2675537;Q36834;Q2675537;Q214970;Q36834;Q2675537;Q639669;Q36834;Q2675537;Q639669;Q16031530;Q16145150,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,0.5371900826446281,0.11304347826086956,0.1867816091954023
