question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,source_file,source_approach,model,retriever,document,retrieved_context_ids,retrieved_context_texts,complete_prompt,vote_count,unique_qids,all_qids_voted,source_approaches,voting_algorithm,threshold,multi_valued_support,TP,FP,FN,entity_type,TN,gold_years,linked_years,common_years,precision,recall,f1
What is the date of birth of A. White?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",A. White,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""A. White""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Question: ""What is the date of birth of A. White?""

Answer:","I don't have access to external information or databases, so I can't provide the exact date of birth of ""A. White"". Please consult a reliable source to find this information.",NIL,person,,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,0,,,,0.2,0.11764705882352941,0.14814814814814817
What is the date of birth of Agnes Drummond?,,"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Agnes Drummond,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Agnes Drummond""
Sentence: ""The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.""
Question: ""What is the date of birth of Agnes Drummond?""

Answer:","I don't have access to specific databases or real-time information to provide the exact date of birth of Agnes Drummond. A reliable source would be needed to provide that information. As a assistant, I can help you look for information, but I cannot guarantee the accuracy of the results. According to some genealogical records found online, Agnes Drummond was born around 1852, but please verify this information from reliable sources.",NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.2,0.11764705882352941,0.14814814814814817
What is the date of birth of Agnes Larkcom?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Agnes Larkcom,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Agnes Larkcom""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the date of birth of Agnes Larkcom?""

Answer:",I cannot determine the date of birth of Agnes Larkcom from the given sentence.,NIL,person,1865,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,,,,0.2,0.11764705882352941,0.14814814814814817
What is the date of birth of Agnes Robinson?,,"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",Agnes Robinson,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Agnes Robinson""
Sentence: ""Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.""
Question: ""What is the date of birth of Agnes Robinson?""

Answer:","I don't have access to databases or the ability to perform real-time searches, so I cannot provide the exact date of birth of Agnes Robinson. You would need to consult a reliable source, such as a biographical reference work or genealogical record, to find this information.",NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.2,0.11764705882352941,0.14814814814814817
What is the date of birth of Alice Mary Curtis?,,"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Alice Mary Curtis,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Alice Mary Curtis""
Sentence: ""Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.""
Question: ""What is the date of birth of Alice Mary Curtis?""

Answer:","I don't have access to databases or the ability to browse the internet, so I can't provide the exact date of birth of Alice Mary Curtis. You would need to look up this information in a reliable source.",NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.2,0.11764705882352941,0.14814814814814817
What is the date of birth of Amy Aylward?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Amy Aylward,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Amy Aylward""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the date of birth of Amy Aylward?""

Answer:","I don't have access to external databases or information sources, so I cannot provide the date of birth of Amy Aylward. If you have a specific, confirmed date of birth for Amy Aylward, I can format it for you. However, I don't have the ability to find this information myself.",NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.2,0.11764705882352941,0.14814814814814817
What is the date of birth of Angele Cordier?,,"The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.",Angele Cordier,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Angele Cordier""
Sentence: ""The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.""
Question: ""What is the date of birth of Angele Cordier?""

Answer:",The date of birth of Angele Cordier is not specified in the given sentence.,NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.2,0.11764705882352941,0.14814814814814817
What is the date of birth of Annie Albu?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Annie Albu,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Annie Albu""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the date of birth of Annie Albu?""

Answer:","I cannot determine the exact date of birth of ""Annie Albu"" from the given sentence as it does not provide enough information about her birthdate.",NIL,person,1858,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,,,,0.2,0.11764705882352941,0.14814814814814817
What is the date of birth of Annie Bradley?,,"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Annie Bradley,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Annie Bradley""
Sentence: ""Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.""
Question: ""What is the date of birth of Annie Bradley?""

Answer:","I do not have access to external databases or resources, and I can only determine a date of birth if it is explicitly mentioned in the given sentence. In this case, the sentence ""Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell."" does not provide a date of birth for Annie Bradley. Therefore, I cannot provide a date of birth for Annie Bradley.",NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.2,0.11764705882352941,0.14814814814814817
What is the date of birth of Annie Butterworth?,,"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Annie Butterworth,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Annie Butterworth""
Sentence: ""Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.""
Question: ""What is the date of birth of Annie Butterworth?""

Answer:","I don't have access to databases or personal data about individuals, so I cannot provide the actual date of birth of Annie Butterworth. The answer would depend on a reliable source that contains this information.",NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.2,0.11764705882352941,0.14814814814814817
