question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,source_file,source_approach,model,retriever,document,retrieved_context_ids,retrieved_context_texts,vote_count,unique_qids,all_qids_voted,source_approaches,voting_algorithm,threshold,multi_valued_support,TP,FP,FN,entity_type,TN,precision,recall,f1
What is the family name of A. Randegger?,,"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",A. Randegger,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""A. Randegger""
Sentence: ""G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.""
Question: ""What is the family name of A. Randegger?""

Answer:",Randegger,Q4712167,person,Q76411496,Q76411496,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q76411496;Q76411496;Q76411496;Q76411496;Q76411496;Q76411496;Q76411496,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Abel?,,"Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.",Abel,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Abel""
Sentence: ""Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.""
Question: ""What is the family name of Abel?""

Answer:",Abel,Q168539,person,Q318363,Q318363,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q318363;Q318363;Q318363;Q318363;Q318363;Q318363;Q318363,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Addison?,,"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Addison,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Addison""
Sentence: ""Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.""
Question: ""What is the family name of Addison?""

Answer:",Addison,Q206384,person,Q16001762,Q16001762,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q16001762;Q16001762;Q16001762;Q16001762;Q16001762;Q16001762;Q16001762,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Adelaide Phillips?,,"A pleasing ballad, with fine melody, sung by Adelaide Phillips.",Adelaide Phillips,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Adelaide Phillips""
Sentence: ""A pleasing ballad, with fine melody, sung by Adelaide Phillips.""
Question: ""What is the family name of Adelaide Phillips?""

Answer:",Phillips,Q4681758,person,Q37498658,Q2793828,0,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q2793828;Q2793828;Q2793828;Q2793828;Q2793828;Q2793828;Q2793828,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,1,1,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Adelina Patti?,,Adelina Patti — for that will continue to be her professional.,Adelina Patti,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Adelina Patti""
Sentence: ""Adelina Patti — for that will continue to be her professional.""
Question: ""What is the family name of Adelina Patti?""

Answer:",Patti,Q234166,person,Q26741038,Q26741038,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,28,1,Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038;Q26741038,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Adolphe Adam?,,"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",Adolphe Adam,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Adolphe Adam""
Sentence: ""Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.""
Question: ""What is the family name of Adolphe Adam?""

Answer:",Adam,Q189544,person,Q10379699,Q10379699,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q10379699;Q10379699;Q10379699;Q10379699;Q10379699;Q10379699;Q10379699,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Agazzari?,,"The first chapter in the volume begins by mentioning Emilio del Cavalieri’s ‘Rappresentatione di anima e di corpo,’ with which the new style of music made its entry into Rome in the year 1600, and then he goes on to show how varied melody, choral polyphony, the lied form, the aria, new tonality, and a feeling for unity were. gradually introduced and developed by such composers as Agazzari, Marco da Gagliano, Stefano Landi (whose works show important advance in form, instrumentation, and characterisation), Michelangelo, Rossi, & c.",Agazzari,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Agazzari""
Sentence: ""The first chapter in the volume begins by mentioning Emilio del Cavalieri’s ‘Rappresentatione di anima e di corpo,’ with which the new style of music made its entry into Rome in the year 1600, and then he goes on to show how varied melody, choral polyphony, the lied form, the aria, new tonality, and a feeling for unity were. gradually introduced and developed by such composers as Agazzari, Marco da Gagliano, Stefano Landi (whose works show important advance in form, instrumentation, and characterisation), Michelangelo, Rossi, & c.""
Question: ""What is the family name of Agazzari?""

Answer:",Agazzari,Q395563,person,Q89205110,Q89205110,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q89205110;Q89205110;Q89205110;Q89205110;Q89205110;Q89205110;Q89205110,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Alberto Randegger?,,", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",Alberto Randegger,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Alberto Randegger""
Sentence: "", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].""
Question: ""What is the family name of Alberto Randegger?""

Answer:",Randegger,Q4712167,person,Q76411496,Q76411496,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q76411496;Q76411496;Q76411496;Q76411496;Q76411496;Q76411496;Q76411496,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Albinoni?,,"Immediately in their footsteps appeared those great harmonists Gaetano Greco, Albinoni Caldara,",Albinoni,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Albinoni""
Sentence: ""Immediately in their footsteps appeared those great harmonists Gaetano Greco, Albinoni Caldara,""
Question: ""What is the family name of Albinoni?""

Answer:",Albinoni,Q174606,person,Q112520804,Q112520804,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,2,Q112520804;Q112520804;Q112520804;Q36994840;Q112520804;Q112520804;Q112520804,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
What is the family name of Alessandro Scarlatti?,,"He was born in Naples, where he studied the rudiments of music under Alessandro Scarlatti and Nicolo Porpora.",Alessandro Scarlatti,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Alessandro Scarlatti""
Sentence: ""He was born in Naples, where he studied the rudiments of music under Alessandro Scarlatti and Nicolo Porpora.""
Question: ""What is the family name of Alessandro Scarlatti?""

Answer:",Scarlatti,Q183087,person,Q21501721,Q21501721,1,QA_FamilyName_QID_noctx_openrouter_openai_gpt-4o-mini_20250507_linked.csv,ZS,openai_gpt-4o-mini,,,,,7,1,Q21501721;Q21501721;Q21501721;Q21501721;Q21501721;Q21501721;Q21501721,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,QID,0,0.8841870824053452,0.8322851153039832,0.8574514038876889
