retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
instructor-xl,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; violinist; teacher,Q36834,Q36834;Q1259917;Q37226,0.3333333333333333,1.0,0.5,1,2,0,RAG,RAG
instructor-xl,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,official; courtier; administrator,Q82955,Q599151;Q1511216;Q358832,0.0,0.0,0.0,0,3,1,RAG,RAG
instructor-xl,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,: organist,Q36834,Q765778,0.0,0.0,0.0,0,1,1,RAG,RAG
instructor-xl,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,conductor; composer; organist; choirmaster; teacher,Q36834;Q13424456,Q158852;Q36834;Q765778;Q1076502;Q37226,0.2,0.5,0.28571428571428575,1,4,1,RAG,RAG
instructor-xl,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,: violinist; composer; concertmaster; conductor; music director; educator,Q36834;Q1259917;Q2675537;Q3153559,Q1259917;Q36834;Q691031;Q158852;Q1198887;Q974144,0.3333333333333333,0.5,0.4,2,4,2,RAG,RAG
instructor-xl,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; music theorist; harpsichordist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q16031530;Q5371902,1.0,0.42857142857142855,0.6,3,0,4,RAG,RAG
instructor-xl,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,chorister; lay clerk; singing man; organist,Q36834;Q765778,Q1076502;Q6505410;Q765778,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
instructor-xl,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
instructor-xl,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; conductor; organist; virtuoso; impresario,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q765778;Q214970;Q3029406,0.4,0.2857142857142857,0.3333333333333333,2,3,5,RAG,RAG
instructor-xl,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; conductor; pianist; violinist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q1259917,0.75,0.3333333333333333,0.46153846153846156,3,1,6,RAG,RAG
