retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; violinist; musician; author,Q36834,Q36834;Q1259917;Q639669;Q482980,0.25,1.0,0.4,1,3,0,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,lord chamberlain; government official; administrator,Q82955,Q1355456;Q8985067;Q358832,0.0,0.0,0.0,0,3,1,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,harmonium player; musician,Q36834,Q54844699;Q639669,0.0,0.0,0.0,0,2,1,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,conductor,Q36834;Q13424456,Q158852,0.0,0.0,0.0,0,1,2,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,violinist; conductor; composer; music educator,Q36834;Q1259917;Q2675537;Q3153559,Q1259917;Q158852;Q36834;Q16145150,0.5,0.5,0.5,2,2,2,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer;music theorist;musician,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q16031530;Q639669,0.6666666666666666,0.2857142857142857,0.4,2,1,5,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; virtuoso; organist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,Q36834;Q158852;Q214970;Q765778;Q16145150,1.0,0.45454545454545453,0.625,5,0,6,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; virtuoso; organist; musicologist; music educator; oratorio composer; choral composer,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,,0.0,0.0,0.0,0,0,7,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; pianist; organist; music educator; musicologist; violinist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q16145150;Q14915627;Q1259917,0.8571428571428571,0.6666666666666666,0.75,6,1,3,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; music educator; musicologist,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q158852;Q16145150;Q14915627,1.0,0.8,0.888888888888889,4,0,1,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,adaptor,Q49757;Q753110,,0.0,0.0,0.0,0,0,2,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; arranger; musician,Q36834;Q158852,Q36834;Q1643514;Q639669,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; playwright; music theorist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q214917;Q16031530,0.6666666666666666,0.2857142857142857,0.4,2,1,5,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,Principal,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q7245049,0.0,0.0,0.0,0,1,6,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,principal; musician; organist,Q36834;Q16145150,Q7245049;Q639669;Q765778,0.0,0.0,0.0,0,3,2,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; organist; conductor,Q36834;Q765778;Q1622272;Q16145150,Q36834;Q765778;Q158852,0.6666666666666666,0.5,0.5714285714285715,2,1,2,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; pianist; organist; music educator; musicologist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q16145150;Q14915627,1.0,0.6666666666666666,0.8,6,0,3,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; music educator,Q36834;Q765778;Q14915627;Q16145150;Q21680663,Q36834;Q158852;Q16145150,0.6666666666666666,0.4,0.5,2,1,3,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; pianist; organist; music educator; musicologist; choir director; violinist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q16145150;Q14915627;Q1076502;Q1259917,0.75,0.6666666666666666,0.7058823529411765,6,2,3,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,noble; conductor; patron,Q82955,Q16744001;Q158852;Q516590,0.0,0.0,0.0,0,3,1,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; musicologist; writer; historian; music educator,Q36180;Q36834;Q201788;Q765778;Q5371902;Q14915627;Q20198542,Q36834;Q14915627;Q36180;Q201788;Q16145150,0.8,0.5714285714285714,0.6666666666666666,4,1,3,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; musicologist,Q36834;Q158852,Q36834;Q158852;Q14915627,0.6666666666666666,1.0,0.8,2,1,0,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; pianist; organist; music educator; musicologist; symphonist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q16145150;Q14915627;Q105754803,0.8571428571428571,0.6666666666666666,0.75,6,1,3,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; arranger; musician,Q639669;Q1028181,Q36834;Q1643514;Q639669,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; pianist; music educator,Q36834;Q158852;Q486748;Q855091;Q1350157;Q24067349,Q36834;Q158852;Q486748;Q16145150,0.75,0.5,0.6,3,1,3,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; pianist; organist; music educator; musicologist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q16145150;Q14915627,1.0,0.6666666666666666,0.8,6,0,3,RAG,RAG
contriever,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,journalist; newspaper editor,Q1930187,Q1930187;Q17351648,0.5,1.0,0.6666666666666666,1,1,0,RAG,RAG
