retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,"composer; violinist; concert performer; music teacher (based on the fact that he had scholars, implying he taught music)",Q36834,,0.0,0.0,0.0,0,0,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,royal court official; officer of the household; ceremonial head; custodian of the royal robes; keeper of the jewels; supervisor of royal entertainment and ceremonies; high-ranking courtier; officer in the royal household responsible for managing the entertainment at court,Q82955,,0.0,0.0,0.0,0,0,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,pianist; harmonium player,Q36834,Q486748;Q54844699,0.0,0.0,0.0,0,2,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,conductor,Q36834;Q13424456,Q158852,0.0,0.0,0.0,0,1,2,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,theatre manager,Q36834;Q1259917;Q2675537;Q3153559,Q1776724,0.0,0.0,0.0,0,1,4,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; music theorist; harpsichordist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q16031530;Q5371902,1.0,0.42857142857142855,0.6,3,0,4,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; musician; music teacher; organist,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,Q36834;Q639669;Q2675537;Q765778,0.5,0.18181818181818182,0.26666666666666666,2,2,9,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; conductor; virtuoso; organist; harpsichordist; musicologist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q214970;Q765778;Q5371902;Q14915627,0.5,0.42857142857142855,0.4615384615384615,3,3,4,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; conductor; pianist; organist; soloist; music director; professor of music; composer of oratorios; writer for musical periodicals,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; musicologist; music educator,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q14915627;Q16145150,1.0,0.6,0.7499999999999999,3,0,2,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; musician,Q36834;Q486748;Q765778,Q36834;Q639669,0.5,0.3333333333333333,0.4,1,1,2,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,adaptor of words to music; poet,Q49757;Q753110,Q49757,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,music arranger; composer; imitator; writer; musician,Q36834;Q158852,Q1643514;Q36834;Q1148872;Q36180;Q639669,0.2,0.5,0.28571428571428575,1,4,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; organist; music theoretician; harpsichordist; violinist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q765778;Q16031530;Q5371902;Q1259917,0.8,0.5714285714285714,0.6666666666666666,4,1,3,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,musician; singer; chorister; cantor; church musician; soloist; singing teacher; choir director; music instructor; musical director; organist; choral conductor,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,,0.0,0.0,0.0,0,0,6,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,musician; organist,Q36834;Q16145150,Q639669;Q765778,0.0,0.0,0.0,0,2,2,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; pianist; music teacher,Q36834;Q765778;Q1622272;Q16145150,Q36834;Q486748;Q2675537,0.3333333333333333,0.25,0.28571428571428575,1,2,3,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,organist; composer,Q36834;Q486748;Q765778,Q765778;Q36834,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; conductor; pianist; organist; musical educator; virtuoso,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q214970,0.8,0.4444444444444444,0.5714285714285714,4,1,5,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; pianist; conductor,Q36834;Q765778;Q14915627;Q16145150;Q21680663,Q36834;Q486748;Q158852,0.3333333333333333,0.2,0.25,1,2,4,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; conductor; pianist; music director; organist; performer; music teacher; violinist; singer; orchestrator; arranger; singer; rehearsal pianist; soloist; accompanist; choir trainer; singer; songwriter; arranger; conductor; performer; musical director; pianist.,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,patron; concert director,Q82955,Q516590,0.0,0.0,0.0,0,1,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,author; writer; scholar; music historian,Q36180;Q36834;Q201788;Q765778;Q5371902;Q14915627;Q20198542,Q482980;Q36180;Q2248623;Q20198542,0.5,0.2857142857142857,0.36363636363636365,2,2,5,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; musician,Q36834;Q158852,Q36834;Q639669,0.5,0.5,0.5,1,1,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; conductor; pianist; organist; soloist; conductor; performer; music teacher; virtuoso; pianist; composer; conductor,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; musician; artist; arranger; performer,Q639669;Q1028181,Q36834;Q639669;Q483501;Q1643514;Q713200,0.2,0.5,0.28571428571428575,1,4,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; conductor,Q36834;Q158852;Q486748;Q855091;Q1350157;Q24067349,Q36834;Q158852,1.0,0.3333333333333333,0.5,2,0,4,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; conductor; pianist; organist; musician; music director; soloist; master of the King's music,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,"publisher; journalist; editor (based on the context provided, it is indicated that James Perry was associated with the Morning Chronicle, which suggests he was a publisher, journalist, or editor)",Q1930187,,0.0,0.0,0.0,0,0,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,music teacher; artist; musician,Q36834,Q2675537;Q483501;Q639669,0.0,0.0,0.0,0,3,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; music educator; artist; musician; performer; scholar; writer; pianist; violinist,Q36834;Q158852;Q14915627;Q16145150;Q18931911;Q19723482,Q36834;Q16145150;Q483501;Q639669;Q713200;Q2248623;Q36180;Q486748;Q1259917,0.2222222222222222,0.3333333333333333,0.26666666666666666,2,7,4,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,pianist; composer; musician,Q36834;Q37226;Q177220;Q486748;Q16145150,Q486748;Q36834;Q639669,0.6666666666666666,0.4,0.5,2,1,3,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,musician; composer; pianist,Q36834;Q1259917,Q639669;Q36834;Q486748,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; musician; music teacher; artist; composer; music director; choral director; arranger; songwriter; conductor; performer; pianist; musicologist; music educator; arts educator,Q36834;Q639669,,0.0,0.0,0.0,0,0,2,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; music teacher; music director; pianist; harpist,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q2675537;Q1198887;Q486748;Q3127709,0.2,0.2,0.20000000000000004,1,4,4,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,poet; writer,Q36180;Q49757;Q214917;Q250867;Q753110;Q8178443,Q49757;Q36180,1.0,0.3333333333333333,0.5,2,0,4,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,poet; psalmist,Q36180;Q49757;Q333634,Q49757,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,poet; librettist; writer,Q36180;Q49757;Q214917;Q250867;Q753110;Q8178443,Q49757;Q8178443;Q36180,1.0,0.5,0.6666666666666666,3,0,3,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,music historian; musicologist; music educator,Q36834;Q201788;Q250867;Q486748;Q14915627;Q16031530;Q16145150,Q20198542;Q14915627;Q16145150,0.6666666666666666,0.2857142857142857,0.4,2,1,5,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; musician,Q36834;Q158852;Q1198887,Q36834;Q639669,0.5,0.3333333333333333,0.4,1,1,2,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; music teacher (based on the context about the Royal Academy of Music and his role as a teacher there),Q36834,,0.0,0.0,0.0,0,0,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; musician,Q36834,Q36834;Q639669,0.5,1.0,0.6666666666666666,1,1,0,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,writer; historian; theologian; translator,Q201788,Q36180;Q201788;Q1234713;Q333634,0.25,1.0,0.4,1,3,0,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,royalty; participant in musical performance; music lover,Q158852;Q177220;Q639669;Q765778;Q1028181,Q11573099;Q21625815,0.0,0.0,0.0,0,2,5,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,opera singer; actress,Q177220;Q2865819,Q2865819;Q21169216,0.5,0.5,0.5,1,1,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; music teacher; conductor; pianist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q2675537;Q158852;Q486748,0.75,0.3333333333333333,0.46153846153846156,3,1,6,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; chapel master; cathedral musician,Q36834,Q36834,1.0,1.0,1.0,1,0,0,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,"Based on the sentence provided and without additional context, it's not explicitly stated what Sir Thomas Gladstone's occupation is. However, given that he is being referred to as ""Sir"" and is occupying a chair in a formal setting, it can be inferred that he is likely a member of the nobility or a high-ranking official. Therefore, the answer would be: noble; official.

With the additional context provided, there is still no explicit information about Sir Thomas Gladstone's occupation. However, the fact that he is being presented with a testimonial suggests that he is a figure of respect and esteem in his community, likely due to his achievements in a particular field. Therefore, the answer would be: figure of respect and esteem (based on the context provided).",Q82955,,0.0,0.0,0.0,0,0,1,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,poet; writer; librettist,Q36180;Q49757;Q214917;Q250867;Q753110;Q8178443,Q49757;Q36180;Q8178443,1.0,0.5,0.6666666666666666,3,0,3,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; adapter (of music),Q36834;Q482980;Q5697103,Q36834,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; music director; organist,Q36834;Q1076502;Q1278335,Q36834;Q1198887;Q765778,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,violinist; musician,Q36834;Q1259917;Q2675537;Q3153559,Q1259917;Q639669,0.5,0.25,0.3333333333333333,1,1,3,RAG,RAG
bge-large,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,government official; office holder,Q82955,Q8985067;P1308,0.0,0.0,0.0,0,2,1,RAG,RAG
