retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; violinist; music teacher,Q36834,Q36834;Q1259917;Q2675537,0.3333333333333333,1.0,0.5,1,2,0,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,royal official; administrator,Q82955,Q358832,0.0,0.0,0.0,0,1,1,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:organist; musician,Q36834,Q765778;Q639669,0.0,0.0,0.0,0,2,1,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:conductor; composer,Q36834;Q13424456,Q158852;Q36834,0.5,0.5,0.5,1,1,1,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,musician; composer; violinist; conductor,Q36834;Q1259917;Q2675537;Q3153559,Q639669;Q36834;Q1259917;Q158852,0.5,0.5,0.5,2,2,2,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,;composer; music theorist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q16031530,1.0,0.2857142857142857,0.4444444444444445,2,0,5,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,chorister; lay-clerk; singing-man; organist;,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; conductor; violinist; organist; harpsichordist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q1259917;Q765778;Q5371902,0.8,0.5714285714285714,0.6666666666666666,4,1,3,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:composer; conductor; virtuoso; organist; teacher,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q214970;Q765778;Q37226,0.6,0.3333333333333333,0.42857142857142855,3,2,6,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834,1.0,0.2,0.33333333333333337,1,0,4,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,: lyricist; poet; writer,Q49757;Q753110,Q822146;Q49757;Q36180,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:composer; arranger,Q36834;Q158852,Q36834;Q1643514,0.5,0.5,0.5,1,1,1,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:composer; music theorist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q16031530,1.0,0.2857142857142857,0.4444444444444445,2,0,5,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:organist; musician,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q765778;Q639669,0.0,0.0,0.0,0,2,6,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,singer,Q36834;Q16145150,Q177220,0.0,0.0,0.0,0,1,2,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer,Q36834;Q765778;Q1622272;Q16145150,Q36834,1.0,0.25,0.4,1,0,3,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; organist; organist,Q36834;Q486748;Q765778,Q36834;Q765778;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; conductor; virtuoso; pianist; organist; violinist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q214970;Q486748;Q765778;Q1259917,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:composer; music educator,Q36834;Q765778;Q14915627;Q16145150;Q21680663,Q36834;Q16145150,1.0,0.4,0.5714285714285715,2,0,3,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; conductor,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852,1.0,0.2222222222222222,0.3636363636363636,2,0,7,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,conductor; music director,Q82955,Q158852;Q1198887,0.0,0.0,0.0,0,2,1,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,author; editor; historian; music historian; biographer; writer,Q36180;Q36834;Q201788;Q765778;Q5371902;Q14915627;Q20198542,Q482980;Q1607826;Q201788;Q20198542;Q864380;Q36180,0.5,0.42857142857142855,0.4615384615384615,3,3,4,RAG,RAG
contriever,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; music educator,Q36834;Q158852,Q36834;Q16145150,0.5,0.5,0.5,1,1,1,RAG,RAG
