question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,source_file,source_approach,model,retriever,document,retrieved_context_ids,retrieved_context_texts,complete_prompt,vote_count,unique_qids,all_qids_voted,source_approaches,voting_algorithm,threshold,multi_valued_support,TP,FP,FN,entity_type,TN,precision,recall,f1
What is the occupation of A. White?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",A. White,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""A. White""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Question: ""What is the occupation of A. White?""

Answer:",The sentence provided does not specify the occupation of A. White. Additional context is required to determine this person's occupation.,NIL,person,,,0,QA_occupation_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,0,0.6410256410256411,0.24752475247524752,0.35714285714285715
What is the occupation of Agnes Drummond?,,"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Agnes Drummond,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Agnes Drummond""
Sentence: ""The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.""
Question: ""What is the occupation of Agnes Drummond?""

Answer:","artist; pianist (since Agnes Drummond is listed among other pianists in the sentence, it's reasonable to infer that she is also a pianist)",NIL,person,Q177220,,0,QA_occupation_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,17,5,Q847689;Q486748;Q177220;Q639669;Q486748;Q177220;Q639669;Q486748;Q177220;Q639669;Q177220;Q11615883;Q847689;Q639669;Q486748;Q639669;Q847689,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,0.6410256410256411,0.24752475247524752,0.35714285714285715
What is the occupation of Agnes Larkcom?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Agnes Larkcom,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Agnes Larkcom""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the occupation of Agnes Larkcom?""

Answer:",(There is not enough information in the provided sentence to determine the occupation of Agnes Larkcom.),NIL,person,"Q98834068, Q7939609",Q177220,0,QA_occupation_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,4,2,Q177220;Q1259917;Q177220;Q177220,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,1,1,NIL,0,0.6410256410256411,0.24752475247524752,0.35714285714285715
What is the occupation of Agnes Robinson?,,"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",Agnes Robinson,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Agnes Robinson""
Sentence: ""Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.""
Question: ""What is the occupation of Agnes Robinson?""

Answer:","I don't have access to the context or additional information about the person ""Agnes Robinson"" in this sentence. The sentence you provided only contains names of people with titles, but it doesn't provide any information about their occupations. Therefore, I cannot provide an answer to your question.",NIL,person,Q29448653,,0,QA_occupation_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,7,5,Q177220;Q2643890;Q177220;Q2643890;Q486748;Q765778;Q639669,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,0.6410256410256411,0.24752475247524752,0.35714285714285715
What is the occupation of Alice Mary Curtis?,,"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Alice Mary Curtis,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Alice Mary Curtis""
Sentence: ""Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.""
Question: ""What is the occupation of Alice Mary Curtis?""

Answer:",I cannot determine the occupation of Alice Mary Curtis from the given sentence. The sentence does not provide any context regarding the occupations of the named individuals.,NIL,person,Q29448653,Q2643890;Q486748,0,QA_occupation_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,2,2,Q486748;Q2643890,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,1,1,NIL,0,0.6410256410256411,0.24752475247524752,0.35714285714285715
What is the occupation of Amy Aylward?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Amy Aylward,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Amy Aylward""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the occupation of Amy Aylward?""

Answer:","(This answer is based on the assumption that the sentence is from an article or a context about an award or recognition in a field, likely related to arts or education.)

artist; creative professional; designer; educator; illustrator; instructor; painter; photographer; printmaker; sculptor",NIL,person,Q98834068,Q177220,0,QA_occupation_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,4,3,Q177220;Q639669;Q177220;Q2643890,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,1,1,NIL,0,0.6410256410256411,0.24752475247524752,0.35714285714285715
What is the occupation of Angele Cordier?,,"The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.",Angele Cordier,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Angele Cordier""
Sentence: ""The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.""
Question: ""What is the occupation of Angele Cordier?""

Answer:",opera singer; prima donna,NIL,person,"Q33999, Q693249, Q2865819",Q177220,0,QA_occupation_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,6,2,Q2865819;Q177220;Q177220;Q177220;Q177220;Q177220,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,1,1,NIL,0,0.6410256410256411,0.24752475247524752,0.35714285714285715
What is the occupation of Annie Albu?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Annie Albu,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Annie Albu""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the occupation of Annie Albu?""

Answer:","I cannot determine the occupation of Annie Albu from the given sentence. The sentence only provides names of people who were highly commended, but it does not specify their occupations.",NIL,person,"Q177220, Q639669",,0,QA_occupation_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,4,4,Q1259917;Q486748;Q639669;Q177220,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,0.6410256410256411,0.24752475247524752,0.35714285714285715
What is the occupation of Annie Bradley?,,"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Annie Bradley,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Annie Bradley""
Sentence: ""Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.""
Question: ""What is the occupation of Annie Bradley?""

Answer:","I cannot determine a specific occupation for Annie Bradley based on the given sentence. The sentence mentions Annie Bradley in a list of names, but it does not provide any information about their occupations.",NIL,person,NIL,,0,QA_occupation_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,0.6410256410256411,0.24752475247524752,0.35714285714285715
What is the occupation of Annie Butterworth?,,"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Annie Butterworth,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Annie Butterworth""
Sentence: ""Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.""
Question: ""What is the occupation of Annie Butterworth?""

Answer:",I cannot determine the occupation of Annie Butterworth from the given sentence. The sentence does not provide any information about the occupations of Annie Butterworth or any of the other named individuals.,NIL,person,"Q177220,Q639669,Q2643890",Q177220,0,QA_occupation_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250423_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,10,3,Q177220;Q765778;Q177220;Q2643890;Q177220;Q2643890;Q177220;Q2643890;Q177220;Q765778,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,NIL,0,0.6410256410256411,0.24752475247524752,0.35714285714285715
