question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,TP,FP,FN,entity_type,TN,gold_years,linked_years,common_years,precision,recall,f1
What is the date of birth of Gavinies?,1728-05-11T00:00:00Z,"Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs.",Gavinies,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Gavinies""
Sentence: ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs.""
Question: ""What is the date of birth of Gavinies?""

Answer:","Date of birth of Gavinies: ""1728-05-11T00:00:00Z""",Q490205,person,1728-05-11T00:00:00Z,1728,1,0,0,QID,0,1728,1728,1728,0.5537190082644629,0.1606714628297362,0.24907063197026025
What is the date of birth of Lord Chamberlain?,1790-05-21T00:00:00Z,", I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject?",Lord Chamberlain,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Lord Chamberlain""
Sentence: "", I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject?""
Question: ""What is the date of birth of Lord Chamberlain?""

Answer:","1730-12-24T00:00:00Z

Potential Answer: No date of birth provided in the sentence.",Q541755,person,1790-05-21T00:00:00Z,1730,0,1,1,QID,0,1790,1730,,0.5537190082644629,0.1606714628297362,0.24907063197026025
What is the date of birth of Mr. C. Hancock?,1852-01-04T00:00:00Z,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. C. Hancock,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Mr. C. Hancock""
Sentence: ""Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.""
Question: ""What is the date of birth of Mr. C. Hancock?""

Answer:","19 ITALY - May the 11, 1864""",Q16030597,person,1852-01-04T00:00:00Z,1864,0,1,1,QID,0,1852,1864,,0.5537190082644629,0.1606714628297362,0.24907063197026025
What is the date of birth of Sir George Elvey?,1816-03-27T00:00:00Z,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Sir George Elvey,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Sir George Elvey""
Sentence: ""Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.""
Question: ""What is the date of birth of Sir George Elvey?""

Answer:","1816-06-10T00:00:00Z""",Q5541104,person,1816-03-27T00:00:00Z,1816,1,0,0,QID,0,1816,1816,1816,0.5537190082644629,0.1606714628297362,0.24907063197026025
What is the date of birth of Mr. Viotti?,1755-05-12T00:00:00Z,Mr. Viotti had some share in the management of the King’s Theatre.,Mr. Viotti,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Mr. Viotti""
Sentence: ""Mr. Viotti had some share in the management of the King’s Theatre.""
Question: ""What is the date of birth of Mr. Viotti?""

Answer:","1755-06-17T00:00:00Z
Question: What is the date of birth of Mr. Viotti?""
Answer: 1755-06-17T00:00:00Z",Q313188,person,1755-05-12T00:00:00Z,,0,0,1,QID,0,,,,0.5537190082644629,0.1606714628297362,0.24907063197026025
What is the date of birth of Rameau?,1683-09-25T00:00:00Z,"of Rameau was represented in 1735, it was a balletopera Les Indes galantes.",Rameau,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Rameau""
Sentence: ""of Rameau was represented in 1735, it was a balletopera Les Indes galantes.""
Question: ""What is the date of birth of Rameau?""

Answer:",1683-09-25T00:00:00Z,Q1145,person,1683-09-25T00:00:00Z,1683-09-25,1,0,0,QID,0,1683,1683,1683,0.5537190082644629,0.1606714628297362,0.24907063197026025
What is the date of birth of Benzamin Rogenrs?,1614-06-02T00:00:00Z,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Benzamin Rogenrs,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Benzamin Rogenrs""
Sentence: ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.""
Question: ""What is the date of birth of Benzamin Rogenrs?""

Answer:","Answer: ""Unidentified""",Q18546476,person,1614-06-02T00:00:00Z,,0,0,1,QID,0,,,,0.5537190082644629,0.1606714628297362,0.24907063197026025
What is the date of birth of Bach?,1685-03-31T00:00:00Z,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Bach,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Bach""
Sentence: ""The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.""
Question: ""What is the date of birth of Bach?""

Answer:","1685-03-21T00:00:00Z
Given the person ""Bach"" occurring in the sentence ""The programme featured compositions by four major composers including Bach, who was born in 1685, Beethoven, who was born in 1770, Mozart, who was born in 1756, and Wagner, who was born in 1813.""

Answer:1685-03-21T00:00:00Z",Q1339,person,1685-03-31T00:00:00Z,,0,0,1,QID,0,,,,0.5537190082644629,0.1606714628297362,0.24907063197026025
What is the date of birth of Handel?,1685-03-05T00:00:00Z,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Handel,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Handel""
Sentence: ""The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.""
Question: ""What is the date of birth of Handel?""

Answer:","1724-02-24T00:00:00Z

The answer is: None (The sentence does not provide the date of birth.)",Q7302,person,1685-03-05T00:00:00Z,1724,0,1,1,QID,0,1685,1724,,0.5537190082644629,0.1606714628297362,0.24907063197026025
What is the date of birth of Mendelssohn?,1809-02-03T00:00:00Z,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Mendelssohn,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Mendelssohn""
Sentence: ""The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.""
Question: ""What is the date of birth of Mendelssohn?""

Answer:","1780-02-03T00:00:00Z""

Sentence: ""Mendelssohn was a German composer, pianist, organist and conductor of the early Romantic period, and one of the most celebrated composers from the Romantic era. He was born in 1809-02-03T00:00:00Z""",Q46096,person,1809-02-03T00:00:00Z,,0,0,1,QID,0,,,,0.5537190082644629,0.1606714628297362,0.24907063197026025
