retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; violinist; author,Q36834,Q36834;Q1259917;Q482980,0.3333333333333333,1.0,0.5,1,2,0,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,royal court officer,Q82955,,0.0,0.0,0.0,0,0,1,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,organist; musician,Q36834,Q765778;Q639669,0.0,0.0,0.0,0,2,1,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,conductor; composer; church organist,Q36834;Q13424456,Q158852;Q36834;Q66357406,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,violinist; concertmaster; composer; conductor; opera band leader,Q36834;Q1259917;Q2675537;Q3153559,Q1259917;Q691031;Q36834;Q158852,0.5,0.5,0.5,2,2,2,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; conductor; organist; music teacher; harpsichordist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q158852;Q765778;Q2675537;Q5371902,0.6,0.42857142857142855,0.5,3,2,4,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; organist; choir member,Q36834;Q765778,Q36834;Q765778,1.0,1.0,1.0,2,0,0,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; organist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q765778,1.0,0.2857142857142857,0.4444444444444445,2,0,5,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; pianist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q486748,1.0,0.2222222222222222,0.3636363636363636,2,0,7,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834,1.0,0.2,0.33333333333333337,1,0,4,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q486748;Q765778,Q36834,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,adaptor,Q49757;Q753110,,0.0,0.0,0.0,0,0,2,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q158852,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; harpsichordist; organist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q5371902;Q765778,1.0,0.42857142857142855,0.6,3,0,4,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,violinist; orchestral musician,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q1259917;Q99460544,0.0,0.0,0.0,0,2,6,RAG,RAG
instructor-xl,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,conductor,Q36834;Q16145150,Q158852,0.0,0.0,0.0,0,1,2,RAG,RAG
