retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,singer; teacher; musician; vocal coach,Q36834;Q37226;Q158852;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,solo performer; musician; cellist,Q36834;Q19760296,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,writer; poet; playwright; essayist; politician; journalist,Q36180;Q49757;Q82955;Q214917;Q1607826;Q1930187;Q3589290;Q8178443;Q11774202,,0.0,0.0,0.0,0,0,9,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,singer,Q33999;Q2259451;Q2865819,,0.0,0.0,0.0,0,0,3,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,soprano; opera singer; vocalist,Q36834;Q2865819,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer,Q36834;Q486748;Q1350157;Q6430706;Q16145150,Q36834,1.0,0.2,0.33333333333333337,1,0,4,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer,Q36834;Q765778;Q14915627;Q16031530,Q36834,1.0,0.25,0.4,1,0,3,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,conductor; composer; musicologist; singing teacher; pianist,Q36834;Q37226;Q158852;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; violinist; musician,Q36180;Q36834;Q214917;Q1259917;Q2962003,,0.0,0.0,0.0,0,0,5,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; teacher; musician; music educator,Q36834;Q5371902,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,musician; violinist,Q639669,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,vocalist; singer; musician,Q2865819,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,musician; violinist,Q36834;Q1259917,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,poet; writer; bookseller; playwright,Q36180;Q49757;Q182436;Q8178443,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,poet,Q36180;Q49757;Q609016;Q26237228,Q49757,1.0,0.25,0.4,1,0,3,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,violinist,Q36834;Q158852,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,clarinettist; musician,Q36834;Q118865;Q639669,Q118865,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,singer; composer,Q2865819,Q36834;Q177220,0.0,0.0,0.0,0,2,1,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; violinist,Q36834;Q899758;Q1259917,,0.0,0.0,0.0,0,0,3,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,clergyman; bishop; administrator; religious leader; pastor; priest; prelate; archbishop,Q42603,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,poet; writer; playwright,Q49757;Q214917,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,teacher; principal; educator; headmaster,Q36834;Q486748;Q753110;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,conductor; composer,Q36834;Q158852;Q765778;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; pianist; harpsichordist; music educator; conductor,Q36834;Q158852;Q14915627;Q16145150;Q18931911;Q19723482,,0.0,0.0,0.0,0,0,6,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; conductor,Q36834;Q1231865;Q2490358;Q14915627,Q36834,1.0,0.25,0.4,1,0,3,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; singer; conductor; violinist,Q36834;Q158852;Q177220;Q753110;Q2865819,,0.0,0.0,0.0,0,0,5,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer,Q36834;Q16145150,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,impresario,Q943995,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; musician; teacher; instructor; music educator,Q36834;Q639669,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; organist,Q36834;Q765778;Q1622272;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; conductor; virtuoso; pianist; musician; music educator,Q36834,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; librettist; musician,Q36834,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer,Q36834,Q36834,1.0,1.0,1.0,1,0,0,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,singer; musician; concert performer; vocalist,Q177220;Q639669;Q2865819,,0.0,0.0,0.0,0,0,3,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,author; composer; satirist; writer; musician,Q36180;Q36834;Q37226;Q49757,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,vocalist; singer,Q36834;Q158852;Q486748;Q1622272;Q16145150,,0.0,0.0,0.0,0,0,5,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,chorister; lay clerk; singing man,Q36834;Q765778,Q1076502,0.0,0.0,0.0,0,1,2,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; organist,Q36834;Q765778,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer,Q36834;Q158852,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; organist,Q36834;Q177220;Q765778;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; librettist; musician; opera composer; playwright,Q36834;Q158852;Q1622272;Q14915627;Q16145150;Q21680731,,0.0,0.0,0.0,0,0,6,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer,Q36834;Q13219637,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,composer; musician; organist,Q36834,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,musician; composer; organist,Q36834;Q486748,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,meta-llama_llama.3.3-70b-instruct,NIL,vocalist; singer,Q2865819,,0.0,0.0,0.0,0,0,1,RAG,RAG
