retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
bm25,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,violinist; composer,Q36834,Q1259917;Q36834,0.5,1.0,0.6666666666666666,1,1,0,RAG,RAG
bm25,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,lord chamberlain; high-ranking official in the royal household,Q82955,Q1355456,0.0,0.0,0.0,0,1,1,RAG,RAG
bm25,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,musician; harmonium player,Q36834,Q639669;Q54844699,0.0,0.0,0.0,0,2,1,RAG,RAG
bm25,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,conductor; musical arranger; organist,Q36834;Q13424456,Q158852;Q1643514;Q765778,0.0,0.0,0.0,0,3,2,RAG,RAG
bm25,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,musician; concert performer; violinist; impresario; music teacher,Q36834;Q1259917;Q2675537;Q3153559,Q639669;Q1259917;Q3029406;Q2675537,0.5,0.5,0.5,2,2,2,RAG,RAG
bm25,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; music theorist; harpsichordist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q16031530;Q5371902,1.0,0.42857142857142855,0.6,3,0,4,RAG,RAG
bm25,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,chorister; lay-clerk or singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
bm25,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; organist,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,Q36834;Q765778,1.0,0.18181818181818182,0.3076923076923077,2,0,9,RAG,RAG
bm25,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; organist; conductor; pianist; harpsichordist; music director; violinist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q765778;Q158852;Q486748;Q5371902;Q1198887;Q1259917,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,3,3,RAG,RAG
bm25,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; organist; pianist; conductor; music director; virtuoso; pianist-composer; singer; singer-songwriter,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
bm25,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,composer; organist; conductor; music educator; musicologist; musician,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q765778;Q158852;Q16145150;Q14915627;Q639669,0.6666666666666666,0.8,0.7272727272727272,4,2,1,RAG,RAG
bm25,mistralai_mixtral-8x7b-instruct_20250505_linked_evaluated,NIL,organist,Q36834;Q486748;Q765778,Q765778,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
