retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
boyer_moore_per_model,google_gemma-2-27b-it,NIL,principal,Q36834;Q37226;Q158852;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,;solo performer; musician,Q36834;Q19760296,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,writer; essayist; politician,Q36180;Q49757;Q82955;Q214917;Q1607826;Q1930187;Q3589290;Q8178443;Q11774202,,0.0,0.0,0.0,0,0,9,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,singer; vocalist,Q33999;Q2259451;Q2865819,Q177220,0.0,0.0,0.0,0,1,3,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,:opera singer,Q36834;Q2865819,Q2865819,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,:composer; conductor,Q36834;Q486748;Q1350157;Q6430706;Q16145150,Q36834,1.0,0.2,0.33333333333333337,1,0,4,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,;composer,Q36834;Q765778;Q14915627;Q16031530,Q36834,1.0,0.25,0.4,1,0,3,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,composer; pianist; conductor,Q36834;Q37226;Q158852;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,composer,Q36180;Q36834;Q214917;Q1259917;Q2962003,Q36834,1.0,0.2,0.33333333333333337,1,0,4,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,music teacher; composer,Q36834;Q5371902,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,violinist; musician,Q639669,Q1259917,0.0,0.0,0.0,0,1,1,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,"singer;

### Alternate Answer

Note: There is also potential for *Mrs. Alfred Shaw* to be an opera patron, as her association with singers may stem from patronage rather than performance. While this is not an Encyclopedia-worthy occupation per se, it could be gleaned from the sentence's context.",Q2865819,Q177220,0.0,0.0,0.0,0,1,1,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,musician; violinist; string player,Q36834;Q1259917,Q1259917,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,:poet; collector; editor; publisher,Q36180;Q49757;Q182436;Q8178443,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,poet,Q36180;Q49757;Q609016;Q26237228,Q49757,1.0,0.25,0.4,1,0,3,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,violinist,Q36834;Q158852,Q1259917,0.0,0.0,0.0,0,1,2,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,clarinettist; musician,Q36834;Q118865;Q639669,Q118865,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,:singer; composer,Q2865819,Q36834;Q177220,0.0,0.0,0.0,0,2,1,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,composer,Q36834;Q899758;Q1259917,Q36834,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,religious leader; bishop,Q42603,Q4917468,0.0,0.0,0.0,0,1,1,RAG,RAG
boyer_moore_per_model,google_gemma-2-27b-it,NIL,poet; author,Q49757;Q214917,Q49757,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
