retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; violinist; music teacher,Q36834,Q36834;Q1259917;Q2675537,0.3333333333333333,1.0,0.5,1,2,0,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,palace official;,Q82955,,0.0,0.0,0.0,0,0,1,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,: organist,Q36834,Q765778,0.0,0.0,0.0,0,1,1,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,: conductor; organist,Q36834;Q13424456,Q158852;Q765778,0.0,0.0,0.0,0,2,2,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,musician; composer; violinist; conductor; concertmaster,Q36834;Q1259917;Q2675537;Q3153559,Q639669;Q36834;Q1259917;Q158852;Q691031,0.4,0.5,0.4444444444444445,2,3,2,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:composer; harpsichordist; music theorist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q5371902;Q16031530,1.0,0.42857142857142855,0.6,3,0,4,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,: chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; conductor; violinist; organist; harpsichordist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q1259917;Q765778;Q5371902,0.8,0.5714285714285714,0.6666666666666666,4,1,3,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; conductor; violinist; pianist; organist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q1259917;Q486748;Q765778,0.8,0.4444444444444444,0.5714285714285714,4,1,5,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:composer; music educator,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q16145150,1.0,0.4,0.5714285714285715,2,0,3,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,: librettist; lyricist; writer; adaptor,Q49757;Q753110,Q8178443;Q822146;Q36180,0.0,0.0,0.0,0,3,2,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; arranger,Q36834;Q158852,Q36834;Q1643514,0.5,0.5,0.5,1,1,1,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,;composer; organist; violinist; music theorist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q765778;Q1259917;Q16031530,0.75,0.42857142857142855,0.5454545454545454,3,1,4,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,pianist; organist; conductor; composer; music educator,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q486748;Q765778;Q158852;Q36834;Q16145150,0.4,0.3333333333333333,0.3636363636363636,2,3,4,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,:singer; performer,Q36834;Q16145150,Q177220;Q713200,0.0,0.0,0.0,0,2,2,RAG,RAG
gtr-large,google_gemma-2-27b-it_20250505_linked_evaluated,NIL,composer; organist,Q36834;Q765778;Q1622272;Q16145150,Q36834;Q765778,1.0,0.5,0.6666666666666666,2,0,2,RAG,RAG
