question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,source_file,source_approach,model,retriever,document,retrieved_context_ids,retrieved_context_texts,complete_prompt,vote_count,unique_qids,all_qids_voted,source_approaches,voting_algorithm,threshold,multi_valued_support,TP,FP,FN,entity_type,TN,precision,recall,f1
What is the country of citizenship of A. White?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",A. White,"Your task is to determine the country of citizenship of a given person occurring in a given sentence. Your answer MUST consist solely of a country of citizenship (e.g., ""United Kingdom of Great Britain and Ireland"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the country of citizenship of Gavinies?""
Answer: France

Now, given the following inputs:
Person: ""A. White""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Question: ""What is the country of citizenship of A. White?""

Answer:",United Kingdom of Great Britain and Ireland.,NIL,person,,,0,QA_CoC_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,0,0.25555555555555554,0.27710843373493976,0.26589595375722547
What is the country of citizenship of Agnes Drummond?,,"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Agnes Drummond,"Your task is to determine the country of citizenship of a given person occurring in a given sentence. Your answer MUST consist solely of a country of citizenship (e.g., ""United Kingdom of Great Britain and Ireland"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the country of citizenship of Gavinies?""
Answer: France

Now, given the following inputs:
Person: ""Agnes Drummond""
Sentence: ""The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.""
Question: ""What is the country of citizenship of Agnes Drummond?""

Answer:","Scotland
Answer: England",NIL,person,Q145,,0,QA_CoC_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,3,Q21;Q174193;Q145;Q174193;Q174193;Q145;Q21,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,0.25555555555555554,0.27710843373493976,0.26589595375722547
What is the country of citizenship of Agnes Larkcom?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Agnes Larkcom,"Your task is to determine the country of citizenship of a given person occurring in a given sentence. Your answer MUST consist solely of a country of citizenship (e.g., ""United Kingdom of Great Britain and Ireland"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the country of citizenship of Gavinies?""
Answer: France

Now, given the following inputs:
Person: ""Agnes Larkcom""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the country of citizenship of Agnes Larkcom?""

Answer:",United Kingdom,NIL,person,Q145,Q174193,1,QA_CoC_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,2,Q145;Q145;Q174193;Q174193;Q145;Q174193;Q174193,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,1,1,NIL,0,0.25555555555555554,0.27710843373493976,0.26589595375722547
What is the country of citizenship of Agnes Robinson?,,"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",Agnes Robinson,"Your task is to determine the country of citizenship of a given person occurring in a given sentence. Your answer MUST consist solely of a country of citizenship (e.g., ""United Kingdom of Great Britain and Ireland"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the country of citizenship of Gavinies?""
Answer: France

Now, given the following inputs:
Person: ""Agnes Robinson""
Sentence: ""Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.""
Question: ""What is the country of citizenship of Agnes Robinson?""

Answer:",United Kingdom of Great Britain and Ireland.,NIL,person,NIL,Q174193,0,QA_CoC_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,6,3,Q174193;Q145;Q174193;Q21;Q174193;Q21,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,1,0,NIL,0,0.25555555555555554,0.27710843373493976,0.26589595375722547
What is the country of citizenship of Alice Mary Curtis?,,"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Alice Mary Curtis,"Your task is to determine the country of citizenship of a given person occurring in a given sentence. Your answer MUST consist solely of a country of citizenship (e.g., ""United Kingdom of Great Britain and Ireland"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the country of citizenship of Gavinies?""
Answer: France

Now, given the following inputs:
Person: ""Alice Mary Curtis""
Sentence: ""Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.""
Question: ""What is the country of citizenship of Alice Mary Curtis?""

Answer:",United Kingdom of Great Britain and Ireland,NIL,person,Q145,,0,QA_CoC_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,3,Q174193;Q145;Q38;Q174193;Q145;Q174193;Q145,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,0.25555555555555554,0.27710843373493976,0.26589595375722547
What is the country of citizenship of Amy Aylward?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Amy Aylward,"Your task is to determine the country of citizenship of a given person occurring in a given sentence. Your answer MUST consist solely of a country of citizenship (e.g., ""United Kingdom of Great Britain and Ireland"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the country of citizenship of Gavinies?""
Answer: France

Now, given the following inputs:
Person: ""Amy Aylward""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the country of citizenship of Amy Aylward?""

Answer:",United Kingdom of Great Britain and Ireland,NIL,person,Q145,Q174193,0,QA_CoC_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,3,Q174193;Q174193;Q174193;Q174193;Q174193;Q145;Q21,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,1,1,NIL,0,0.25555555555555554,0.27710843373493976,0.26589595375722547
What is the country of citizenship of Angele Cordier?,,"The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.",Angele Cordier,"Your task is to determine the country of citizenship of a given person occurring in a given sentence. Your answer MUST consist solely of a country of citizenship (e.g., ""United Kingdom of Great Britain and Ireland"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the country of citizenship of Gavinies?""
Answer: France

Now, given the following inputs:
Person: ""Angele Cordier""
Sentence: ""The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.""
Question: ""What is the country of citizenship of Angele Cordier?""

Answer:","France

Answer: France",NIL,person,Q142,Q142,1,QA_CoC_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,1,Q142;Q142;Q142;Q142;Q142;Q142;Q142,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,NIL,0,0.25555555555555554,0.27710843373493976,0.26589595375722547
What is the country of citizenship of Annie Albu?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Annie Albu,"Your task is to determine the country of citizenship of a given person occurring in a given sentence. Your answer MUST consist solely of a country of citizenship (e.g., ""United Kingdom of Great Britain and Ireland"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the country of citizenship of Gavinies?""
Answer: France

Now, given the following inputs:
Person: ""Annie Albu""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the country of citizenship of Annie Albu?""

Answer:",United Kingdom of Great Britain and Ireland,NIL,person,Q145,Q174193,0,QA_CoC_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,2,Q174193;Q174193;Q174193;Q174193;Q174193;Q183;Q183,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,1,1,NIL,0,0.25555555555555554,0.27710843373493976,0.26589595375722547
What is the country of citizenship of Annie Bradley?,,"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Annie Bradley,"Your task is to determine the country of citizenship of a given person occurring in a given sentence. Your answer MUST consist solely of a country of citizenship (e.g., ""United Kingdom of Great Britain and Ireland"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the country of citizenship of Gavinies?""
Answer: France

Now, given the following inputs:
Person: ""Annie Bradley""
Sentence: ""Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.""
Question: ""What is the country of citizenship of Annie Bradley?""

Answer:",United States of America,NIL,person,Q145,,0,QA_CoC_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,4,Q30;Q174193;Q21;Q174193;Q16;Q174193;Q30,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,0.25555555555555554,0.27710843373493976,0.26589595375722547
What is the country of citizenship of Annie Butterworth?,,"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Annie Butterworth,"Your task is to determine the country of citizenship of a given person occurring in a given sentence. Your answer MUST consist solely of a country of citizenship (e.g., ""United Kingdom of Great Britain and Ireland"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the country of citizenship of Gavinies?""
Answer: France

Now, given the following inputs:
Person: ""Annie Butterworth""
Sentence: ""Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.""
Question: ""What is the country of citizenship of Annie Butterworth?""

Answer:","England

Your Answer:",NIL,person,Q145,Q174193,0,QA_CoC_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,5,3,Q174193;Q408;Q174193;Q30;Q174193,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,1,1,NIL,0,0.25555555555555554,0.27710843373493976,0.26589595375722547
