question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,source_file,source_approach,model,retriever,document,retrieved_context_ids,retrieved_context_texts,complete_prompt,vote_count,unique_qids,all_qids_voted,source_approaches,voting_algorithm,threshold,multi_valued_support,TP,FP,FN,entity_type,TN,precision,recall,f1
What is the given name of A. White?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",A. White,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""A. White""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Question: ""What is the given name of A. White?""

Answer:","A.
```sql
SELECT REGEXP_SUBSTR('A. White', '^[A-Z][.]?\s*', 1, 1, '', 'i') AS given_name
FROM dual;

GIVEN_NAME
----------
A.
```",NIL,person,,,0,QA_GivenName_nil_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,0,0,NIL,0,0.47058823529411764,0.43636363636363634,0.45283018867924524
What is the given name of Agnes Drummond?,,"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Agnes Drummond,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Agnes Drummond""
Sentence: ""The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.""
Question: ""What is the given name of Agnes Drummond?""

Answer:",Agnes; Answer: Agnes,NIL,person,Q394431,Q394431,1,QA_GivenName_nil_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,9,1,Q394431;Q394431;Q394431;Q394431;Q394431;Q394431;Q394431;Q394431;Q394431,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,NIL,0,0.47058823529411764,0.43636363636363634,0.45283018867924524
What is the given name of Agnes Larkcom?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Agnes Larkcom,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Agnes Larkcom""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the given name of Agnes Larkcom?""

Answer:","Agnes;

(Note: The answer is ""Agnes""; no extra text or formatting such as quotation marks or punctuation is included.)",NIL,person,Q394431,Q394431,0,QA_GivenName_nil_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,5,1,Q394431;Q394431;Q394431;Q394431;Q394431,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,NIL,0,0.47058823529411764,0.43636363636363634,0.45283018867924524
What is the given name of Agnes Robinson?,,"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",Agnes Robinson,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Agnes Robinson""
Sentence: ""Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.""
Question: ""What is the given name of Agnes Robinson?""

Answer:",Agnes,NIL,person,Q16010167,Q394431,0,QA_GivenName_nil_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,6,1,Q394431;Q394431;Q394431;Q394431;Q394431;Q394431,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,1,1,NIL,0,0.47058823529411764,0.43636363636363634,0.45283018867924524
What is the given name of Alice Mary Curtis?,,"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Alice Mary Curtis,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Alice Mary Curtis""
Sentence: ""Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.""
Question: ""What is the given name of Alice Mary Curtis?""

Answer:",Alice; Mary,NIL,person,Q112679131,Q650689,0,QA_GivenName_nil_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,9,2,Q650689;Q112169711;Q650689;Q650689;Q112169711;Q650689;Q650689;Q650689;Q112169711,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,1,1,NIL,0,0.47058823529411764,0.43636363636363634,0.45283018867924524
What is the given name of Amy Aylward?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Amy Aylward,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Amy Aylward""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the given name of Amy Aylward?""

Answer:","Amy
Answer: Amy Aylward; Amy",NIL,person,Q481809,,1,QA_GivenName_nil_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,12,8,Q481809;Q481809;Q566893;Q1114146;Q2235472;Q4218918;Q987673;Q4963612;Q13585060;Q481809;Q481809;Q481809,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,0,1,NIL,0,0.47058823529411764,0.43636363636363634,0.45283018867924524
What is the given name of Angele Cordier?,,"The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.",Angele Cordier,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Angele Cordier""
Sentence: ""The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.""
Question: ""What is the given name of Angele Cordier?""

Answer:",Angele;,NIL,person,Q533686,Q131605246,0,QA_GivenName_nil_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,7,1,Q131605246;Q131605246;Q131605246;Q131605246;Q131605246;Q131605246;Q131605246,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,1,1,NIL,0,0.47058823529411764,0.43636363636363634,0.45283018867924524
What is the given name of Annie Albu?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Annie Albu,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Annie Albu""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the given name of Annie Albu?""

Answer:","Annie
Answered with: Annie",NIL,person,Q566893,Q566893,1,QA_GivenName_nil_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,7,1,Q566893;Q566893;Q566893;Q566893;Q566893;Q566893;Q566893,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,NIL,0,0.47058823529411764,0.43636363636363634,0.45283018867924524
What is the given name of Annie Bradley?,,"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Annie Bradley,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Annie Bradley""
Sentence: ""Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.""
Question: ""What is the given name of Annie Bradley?""

Answer:","Annie

Answer Format: Annie;",NIL,person,Q566893,Q566893,1,QA_GivenName_nil_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,11,4,Q566893;Q566893;Q566893;Q566893;Q566893;Q566893;Q566893;Q39138052;Q1114146;Q4218918;Q566893,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,NIL,0,0.47058823529411764,0.43636363636363634,0.45283018867924524
What is the given name of Annie Butterworth?,,"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Annie Butterworth,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Annie Butterworth""
Sentence: ""Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.""
Question: ""What is the given name of Annie Butterworth?""

Answer:","Annie
Answer: The given name(s) of the person ""Annie Butterworth"" in the sentence ""Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams."" is: Annie",NIL,person,Q566893,Q566893,0,QA_GivenName_nil_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked.csv,ZS,mistralai_mixtral-8x7b-instruct,,,,,,5,3,Q566893;Q59162239;Q346047;Q566893;Q566893,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,NIL,0,0.47058823529411764,0.43636363636363634,0.45283018867924524
