retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
zero-shot,meta-llama_llama-3,NIL,composer; musician; writer; publisher; virtuoso,Q36834,Q36834;Q639669;Q36180;Q2516866;Q214970,0.2,1.0,0.33333333333333337,1,4,0,ZS,ZS
zero-shot,meta-llama_llama-3,NIL,nobleman; politician; royal official; administrator; counselor; courtier; dignitary; peer; statesman; aristocrat,Q82955,,0.0,0.0,0.0,0,0,1,ZS,ZS
zero-shot,meta-llama_llama-3,NIL,musician; harmonium player; organist,Q36834,Q639669;Q54844699;Q765778,0.0,0.0,0.0,0,3,1,ZS,ZS
zero-shot,meta-llama_llama-3,NIL,conductor; composer; organist,Q36834;Q13424456,Q158852;Q36834;Q765778,0.3333333333333333,0.5,0.4,1,2,1,ZS,ZS
zero-shot,meta-llama_llama-3,NIL,musician; composer; violinist; conductor; theatre manager,Q36834;Q1259917;Q2675537;Q3153559,Q639669;Q36834;Q1259917;Q158852;Q1776724,0.4,0.5,0.4444444444444445,2,3,2,ZS,ZS
zero-shot,meta-llama_llama-3,NIL,composer; theorist; organist; harpsichordist; musicologist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q18931911;Q765778;Q5371902;Q14915627,1.0,0.7142857142857143,0.8333333333333333,5,0,2,ZS,ZS
zero-shot,meta-llama_llama-3,NIL,chorister; lay clerk; singing man,Q36834;Q765778,Q1076502;Q6505410,0.0,0.0,0.0,0,2,2,ZS,ZS
zero-shot,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,ZS,ZS
zero-shot,meta-llama_llama-3,NIL,composer; conductor; virtuoso; organist; harpsichordist; violinist; musicologist; music educator,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q214970;Q765778;Q5371902;Q1259917;Q14915627;Q16145150,0.5,0.5714285714285714,0.5333333333333333,4,4,3,ZS,ZS
zero-shot,meta-llama_llama-3,NIL,composer; conductor; pianist; organist; music educator,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q16145150,1.0,0.5555555555555556,0.7142857142857143,5,0,4,ZS,ZS
zero-shot,meta-llama_llama-3,NIL,composer; conductor,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q158852,1.0,0.4,0.5714285714285715,2,0,3,ZS,ZS
