retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; publisher; pianist; harpsichordist,Q36834,Q36834;Q2516866;Q486748;Q5371902,0.25,1.0,0.4,1,3,0,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,head of heraldry; record keeper; master of ceremonies; royal governor; advisor; administrator,Q82955,Q191585;Q2994387;Q358832,0.0,0.0,0.0,0,3,1,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,harmonium player; composer,Q36834,Q54844699;Q36834,0.5,1.0,0.6666666666666666,1,1,0,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,conductor; organist; composer,Q36834;Q13424456,Q158852;Q765778;Q36834,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,theatre manager; conductor; violinist,Q36834;Q1259917;Q2675537;Q3153559,Q1776724;Q158852;Q1259917,0.3333333333333333,0.25,0.28571428571428575,1,2,3,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834,1.0,0.14285714285714285,0.25,1,0,6,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; school teacher,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,Q36834;Q2251335,1.0,0.18181818181818182,0.3076923076923077,2,0,9,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; conductor; organist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q765778,0.6666666666666666,0.2857142857142857,0.4,2,1,5,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; conductor; pianist; music director; music educator; orchestra leader,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q1198887;Q16145150,0.8,0.4444444444444444,0.5714285714285714,4,1,5,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; music educator,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q16145150,1.0,0.4,0.5714285714285715,2,0,3,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,organist; composer; author; music educator,Q36834;Q486748;Q765778,Q765778;Q36834;Q482980;Q16145150,0.5,0.6666666666666666,0.5714285714285715,2,2,1,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,adaptor; librettist; lyricist; poet,Q49757;Q753110,Q8178443;Q822146;Q49757,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q158852,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; music educator,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q16145150,0.5,0.14285714285714285,0.22222222222222224,1,1,6,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,conductor; musician,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q158852;Q639669,0.0,0.0,0.0,0,2,6,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,harpsichordist; music teacher,Q36834;Q16145150,Q5371902;Q2675537,0.0,0.0,0.0,0,2,2,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer; musician,Q36834;Q765778;Q1622272;Q16145150,Q36834;Q639669,0.5,0.25,0.3333333333333333,1,1,3,RAG,RAG
contriever,microsoft_phi-3-medium-128k-instruct_20250505_linked_evaluated,NIL,composer,Q36834;Q486748;Q765778,Q36834,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
