retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
instructor-xl,qwen_qwen-2,NIL,composer; violinist; teacher; performer,Q36834,Q36834;Q1259917;Q37226;Q713200,0.25,1.0,0.4,1,3,0,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,court official; aristocrat; government minister; ceremonial officer; advisor; administrator,Q82955,Q11626664;Q2478141;Q83307;Q2994387;Q358832,0.0,0.0,0.0,0,5,1,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,harmonium player; musician,Q36834,Q54844699;Q639669,0.0,0.0,0.0,0,2,1,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,conductor,Q36834;Q13424456,Q158852,0.0,0.0,0.0,0,1,2,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,violinist; composer; concertmaster; manager; leader of the Opera band,Q36834;Q1259917;Q2675537;Q3153559,Q1259917;Q36834;Q691031;Q721834,0.5,0.5,0.5,2,2,2,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,composer; musician; harpsichordist; opera writer,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q639669;Q5371902,0.6666666666666666,0.2857142857142857,0.4,2,1,5,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,composer; organist; violinist; harpsichordist; choir director; teacher,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,Q36834;Q765778;Q1259917;Q5371902;Q1076502;Q37226,0.8333333333333334,0.45454545454545453,0.5882352941176471,5,1,6,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,composer; conductor; virtuoso; organist; harpsichordist; music educator; choir director; violinist; musicologist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,,0.0,0.0,0.0,0,0,7,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,composer; conductor; pianist; violinist; organist; music educator; music theorist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q1259917;Q765778;Q16145150;Q16031530,0.7142857142857143,0.5555555555555556,0.6250000000000001,5,2,4,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,composer; music educator,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q16145150,1.0,0.4,0.5714285714285715,2,0,3,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,adaptor; lyricist; dramatist,Q49757;Q753110,Q822146;Q214917,0.0,0.0,0.0,0,2,2,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,composer; arranger; musician; versatile artist; imitator; harmonicist,Q36834;Q158852,Q36834;Q1643514;Q639669;Q1148872;Q20850090,0.2,0.5,0.28571428571428575,1,4,1,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,composer; organist; violinist; music theorist; harpsichordist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q765778;Q1259917;Q16031530;Q5371902,0.8,0.5714285714285714,0.6666666666666666,4,1,3,RAG,RAG
instructor-xl,qwen_qwen-2,NIL,musician; teacher,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q639669;Q37226,0.0,0.0,0.0,0,2,6,RAG,RAG
