retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,msic teacuher; sining tegacher; vocal coach,Q36834;Q37226;Q158852;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,musician; solo performer; violinist; cellist; viola da gamba player,Q36834;Q19760296,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,writer; critic; playwright; journalist; politician; diplomat;Essayist; poet; satirist,Q36180;Q49757;Q82955;Q214917;Q1607826;Q1930187;Q3589290;Q8178443;Q11774202,,0.0,0.0,0.0,0,0,9,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,singer; vocalist,Q33999;Q2259451;Q2865819,Q177220,0.0,0.0,0.0,0,1,3,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,singer; opera performer;,Q36834;Q2865819,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,composer; music critic; journalist,Q36834;Q486748;Q1350157;Q6430706;Q16145150,,0.0,0.0,0.0,0,0,5,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,composer,Q36834;Q765778;Q14915627;Q16031530,Q36834,1.0,0.25,0.4,1,0,3,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,composer; pianist; conductor; music teacher; vocal coach; arranger; editor; translator; music publisher,Q36834;Q37226;Q158852;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,composer; musician,Q36180;Q36834;Q214917;Q1259917;Q2962003,Q36834,1.0,0.2,0.33333333333333337,1,0,4,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,composer; teacher,Q36834;Q5371902,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,musician; violinist; violist,Q639669,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,vocalist,Q2865819,Q2643890,0.0,0.0,0.0,0,1,1,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,musician; violinist,Q36834;Q1259917,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,poet; publisher; songwriter; collector,Q36180;Q49757;Q182436;Q8178443,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,poet; lyricist,Q36180;Q49757;Q609016;Q26237228,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,violinist,Q36834;Q158852,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,clarinetist,Q36834;Q118865;Q639669,Q118865,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,singer; composer,Q2865819,Q36834;Q177220,0.0,0.0,0.0,0,2,1,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,composer; violinist; teacher; conductor,Q36834;Q899758;Q1259917,,0.0,0.0,0.0,0,0,3,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,archbishop; religious leader; clergyman,Q42603,Q49476,0.0,0.0,0.0,0,1,1,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,poet; writer,Q49757;Q214917,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,musician; composer; bandleader; military officer,Q36834;Q486748;Q753110;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,composer; conductor; music educator,Q36834;Q158852;Q765778;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,composer; teacher; conductor; pianist; music theorist; music critic; musicologist; pedagogue,Q36834;Q158852;Q14915627;Q16145150;Q18931911;Q19723482,,0.0,0.0,0.0,0,0,6,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,composer; conductor; musician,Q36834;Q1231865;Q2490358;Q14915627,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
boyer_moore_per_model,qwen_qwen.2.5-72b-instruct,NIL,composer; musician; songwriter,Q36834;Q158852;Q177220;Q753110;Q2865819,,0.0,0.0,0.0,0,0,5,RAG,RAG
