retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
gtr-xl,qwen_qwen-2,NIL,composer; violinist; performer; teacher,Q36834,Q36834;Q1259917;Q713200;Q37226,0.25,1.0,0.4,1,3,0,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,government official; court official; licenser; administrator,Q82955,Q8985067;Q11626664;Q358832,0.0,0.0,0.0,0,3,1,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,harmonium player; musician,Q36834,Q54844699;Q639669,0.0,0.0,0.0,0,2,1,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,conductor,Q36834;Q13424456,Q158852,0.0,0.0,0.0,0,1,2,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,composer; violinist; teacher; music director; theater manager,Q36834;Q1259917;Q2675537;Q3153559,Q36834;Q1259917;Q37226;Q1198887;Q1776724,0.4,0.5,0.4444444444444445,2,3,2,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,composer; musician; harpsichordist; opera composer; ballet composer; conductor; teacher; music theorist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,,0.0,0.0,0.0,0,0,7,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,composer; organist; violinist; teacher; choir director; harpsichordist,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,Q36834;Q765778;Q1259917;Q37226;Q1076502;Q5371902,0.8333333333333334,0.45454545454545453,0.5882352941176471,5,1,6,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,composer; organist; conductor; violinist; harpsichordist; music educator; musicologist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q765778;Q158852;Q1259917;Q5371902;Q16145150;Q14915627,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,3,3,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,composer; conductor; pianist; organist; violinist; teacher; musicologist; conductor; virtuoso,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q1259917;Q37226;Q14915627;Q158852;Q214970,0.625,0.5555555555555556,0.5882352941176471,5,3,4,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,composer; musician; operatic composer; music educator; conductor,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q639669;Q16145150;Q158852,0.75,0.6,0.6666666666666665,3,1,2,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,composer; organist; pianist; teacher,Q36834;Q486748;Q765778,Q36834;Q765778;Q486748;Q37226,0.75,1.0,0.8571428571428571,3,1,0,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,adaptor; lyricist,Q49757;Q753110,Q822146,0.0,0.0,0.0,0,1,2,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,composer; arranger,Q36834;Q158852,Q36834;Q1643514,0.5,0.5,0.5,1,1,1,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,composer; organist; violinist; music theorist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q765778;Q1259917;Q16031530,0.75,0.42857142857142855,0.5454545454545454,3,1,4,RAG,RAG
gtr-xl,qwen_qwen-2,NIL,musician; organist,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q639669;Q765778,0.0,0.0,0.0,0,2,6,RAG,RAG
