question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
What is the occupation of Gavinies?,composer,"Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs.",Gavinies,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Gavinies""
Sentence: ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs.""
Question: ""What is the occupation of Gavinies?""

Answer:",violinist; composer,Q490205,person,Q36834,Q1259917;Q36834,1,1,0,0,QID,0,0.7747093023255814,0.6263219741480611,0.6926575698505523
What is the occupation of Lord Chamberlain?,politician,", I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject?",Lord Chamberlain,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Lord Chamberlain""
Sentence: "", I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject?""
Question: ""What is the occupation of Lord Chamberlain?""

Answer:","courtier; officer of the royal household; minister
 (A lord chamberlain was an officer of the royal household with responsibilities for the royal court's entertainment, including censorship of plays.)",Q541755,person,Q82955,,0,0,0,1,QID,0,0.7747093023255814,0.6263219741480611,0.6926575698505523
What is the occupation of Mr. C. Hancock?,composer,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. C. Hancock,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Mr. C. Hancock""
Sentence: ""Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.""
Question: ""What is the occupation of Mr. C. Hancock?""

Answer:",musician; harmonium player,Q16030597,person,Q36834,Q639669;Q54844699,0,0,1,1,QID,0,0.7747093023255814,0.6263219741480611,0.6926575698505523
What is the occupation of Sir George Elvey?,composer; hymnwriter,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Sir George Elvey,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Sir George Elvey""
Sentence: ""Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.""
Question: ""What is the occupation of Sir George Elvey?""

Answer:",conductor,Q5541104,person,Q36834;Q13424456,Q228422,0,0,1,1,QID,0,0.7747093023255814,0.6263219741480611,0.6926575698505523
What is the occupation of Mr. Viotti?,composer; violinist; music teacher; music interpreter,Mr. Viotti had some share in the management of the King’s Theatre.,Mr. Viotti,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Mr. Viotti""
Sentence: ""Mr. Viotti had some share in the management of the King’s Theatre.""
Question: ""What is the occupation of Mr. Viotti?""

Answer:",theater manager; music director; impresario,Q313188,person,Q36834;Q1259917;Q2675537;Q3153559,Q1776724;Q1198887;Q17994313,0,0,1,1,QID,0,0.7747093023255814,0.6263219741480611,0.6926575698505523
What is the occupation of Rameau?,composer; organist; choreographer; harpsichordist; musicologist; music theorist; theorist,"of Rameau was represented in 1735, it was a balletopera Les Indes galantes.",Rameau,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Rameau""
Sentence: ""of Rameau was represented in 1735, it was a balletopera Les Indes galantes.""
Question: ""What is the occupation of Rameau?""

Answer:",composer; keyboardist; music theorist,Q1145,person,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q1075651;Q16031530,0,1,0,0,QID,0,0.7747093023255814,0.6263219741480611,0.6926575698505523
What is the occupation of Benzamin Rogenrs?,composer; organist,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Benzamin Rogenrs,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Benzamin Rogenrs""
Sentence: ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.""
Question: ""What is the occupation of Benzamin Rogenrs?""

Answer:",chorister; singing man; lay clerk,Q18546476,person,Q36834;Q765778,Q1076502;Q6505410,0,0,1,1,QID,0,0.7747093023255814,0.6263219741480611,0.6926575698505523
What is the occupation of Bach?,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Bach,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Bach""
Sentence: ""The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.""
Question: ""What is the occupation of Bach?""

Answer:",composer; musician; musicist; organist; harpsichordist,Q1339,person,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,Q36834;Q639669;Q765778;Q5371902,0,1,0,0,QID,0,0.7747093023255814,0.6263219741480611,0.6926575698505523
What is the occupation of Handel?,composer; organist; impresario; violinist; university teacher; harpsichordist; opera composer,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Handel,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Handel""
Sentence: ""The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.""
Question: ""What is the occupation of Handel?""

Answer:","composer; musician; conductor; organist; patron of music; librettist; instrumentalist; singer
(Note: Handel held various positions and was a versatile musician, so I included several related occupations.)",Q7302,person,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,,0,0,0,1,QID,0,0.7747093023255814,0.6263219741480611,0.6926575698505523
What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Mendelssohn,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Mendelssohn""
Sentence: ""The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.""
Question: ""What is the occupation of Mendelssohn?""

Answer:","composer; conductor; pianist; organist; soloist; chamber musician; orchestrator; concertmaster; music director; pianoforte manufacturer

Note: Mendelssohn had a wide range of talents and occupations related to music. While he is best known as a composer, he also made substantial contributions to conducting, performing (as a pianist and organist), and music education.",Q46096,person,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0,0,0,1,QID,0,0.7747093023255814,0.6263219741480611,0.6926575698505523
What is the occupation of Cherubini?,composer; conductor; musicologist; music theorist; music educator,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Cherubini,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Cherubini""
Sentence: ""The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.""
Question: ""What is the occupation of Cherubini?""

Answer:",composer; musician; music director; music educator,Q20721,person,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q639669;Q1198887;Q16145150,0,1,0,0,QID,0,0.7747093023255814,0.6263219741480611,0.6926575698505523
What is the occupation of Lefébure - Wély?,composer; pianist; organist,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Lefébure - Wély,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Lefébure - Wély""
Sentence: ""The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.""
Question: ""What is the occupation of Lefébure - Wély?""

Answer:",organist; composer,Q546919,person,Q36834;Q486748;Q765778,Q765778;Q36834,0,1,0,0,QID,0,0.7747093023255814,0.6263219741480611,0.6926575698505523
