retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
bge-large,qwen_qwen-2,NIL,composer; violinist; performer; concert artist; accompanist; variationist,Q36834,Q36834;Q1259917;Q713200;Q106750916;Q29448653,0.2,1.0,0.33333333333333337,1,4,0,RAG,RAG
bge-large,qwen_qwen-2,NIL,government official; courtier; administrator,Q82955,Q8985067;Q1511216;Q358832,0.0,0.0,0.0,0,3,1,RAG,RAG
bge-large,qwen_qwen-2,NIL,harmonium player; musician,Q36834,Q54844699;Q639669,0.0,0.0,0.0,0,2,1,RAG,RAG
bge-large,qwen_qwen-2,NIL,conductor; organist,Q36834;Q13424456,Q158852;Q765778,0.0,0.0,0.0,0,2,2,RAG,RAG
bge-large,qwen_qwen-2,NIL,manager; theater administrator,Q36834;Q1259917;Q2675537;Q3153559,Q721834;Q28054726,0.0,0.0,0.0,0,2,4,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; musician; harpsichordist; opera composer; music theorist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q639669;Q5371902;Q21680731;Q16031530,0.6,0.42857142857142855,0.5,3,2,4,RAG,RAG
bge-large,qwen_qwen-2,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; harpsichordist; music educator; organist; violinist; choir director; virtuoso; concertmaster; musicologist,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; conductor; virtuoso; violinist; organist; music educator; harpsichordist; musicologist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q214970;Q1259917;Q765778;Q16145150;Q5371902;Q14915627,0.5,0.5714285714285714,0.5333333333333333,4,4,3,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; conductor; pianist; music educator; organist; violinist; harpsichordist; musicologist; choir director; virtuoso; concertmaster,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; conductor; music educator; organist; choir director; violinist; harpsichordist; musicologist,Q36834;Q158852;Q14915627;Q16031530;Q16145150,,0.0,0.0,0.0,0,0,5,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
bge-large,qwen_qwen-2,NIL,adaptor; poet,Q49757;Q753110,Q49757,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; arranger,Q36834;Q158852,Q36834;Q1643514,0.5,0.5,0.5,1,1,1,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; organist; harpsichordist; violinist; music educator,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q765778;Q5371902;Q1259917;Q16145150,0.6,0.42857142857142855,0.5,3,2,4,RAG,RAG
bge-large,qwen_qwen-2,NIL,musician; organist,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q639669;Q765778,0.0,0.0,0.0,0,2,6,RAG,RAG
bge-large,qwen_qwen-2,NIL,musician; teacher; conductor; organist,Q36834;Q16145150,Q639669;Q37226;Q158852;Q765778,0.0,0.0,0.0,0,4,2,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; pianist; organist,Q36834;Q765778;Q1622272;Q16145150,Q36834;Q486748;Q765778,0.6666666666666666,0.5,0.5714285714285715,2,1,2,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; organist; pianist; teacher,Q36834;Q486748;Q765778,Q36834;Q765778;Q486748;Q37226,0.75,1.0,0.8571428571428571,3,1,0,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; conductor; pianist; organist; music educator; musicologist; virtuoso,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q16145150;Q14915627;Q214970,0.8571428571428571,0.6666666666666666,0.75,6,1,3,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; pianist; organist; conductor; teacher,Q36834;Q765778;Q14915627;Q16145150;Q21680663,Q36834;Q486748;Q765778;Q158852;Q37226,0.4,0.4,0.4000000000000001,2,3,3,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; conductor; pianist; violinist; music educator; organist; choir director; musicologist; virtuoso; concertmaster,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
bge-large,qwen_qwen-2,NIL,patron; organizer; concert director,Q82955,Q516590;Q1419997,0.0,0.0,0.0,0,2,1,RAG,RAG
bge-large,qwen_qwen-2,NIL,author; music historian; scholar,Q36180;Q36834;Q201788;Q765778;Q5371902;Q14915627;Q20198542,Q482980;Q20198542;Q2248623,0.3333333333333333,0.14285714285714285,0.2,1,2,6,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852,,0.0,0.0,0.0,0,0,2,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; conductor; pianist; music educator; violinist; organist; choir director; musicologist; harpsichordist; virtuoso; concertmaster; school teacher,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer,Q639669;Q1028181,Q36834,0.0,0.0,0.0,0,1,2,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; musician; conductor; pianist; songwriter; theater director; music teacher,Q36834;Q158852;Q486748;Q855091;Q1350157;Q24067349,Q36834;Q639669;Q158852;Q486748;Q753110;Q44082221;Q2675537,0.42857142857142855,0.5,0.4615384615384615,3,4,3,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; pianist; conductor; music educator; musicologist; virtuoso; organist; violinist; harpsichordist; choir director; school teacher,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
bge-large,qwen_qwen-2,NIL,journalist; editor,Q1930187,Q1930187;Q1607826,0.5,1.0,0.6666666666666666,1,1,0,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; maestro; music educator,Q36834,Q36834;Q16145150,0.5,1.0,0.6666666666666666,1,1,0,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; teacher; musician,Q36834;Q158852;Q14915627;Q16145150;Q18931911;Q19723482,Q36834;Q37226;Q639669,0.3333333333333333,0.16666666666666666,0.2222222222222222,1,2,5,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; teacher; musician,Q36834;Q37226;Q177220;Q486748;Q16145150,Q36834;Q37226;Q639669,0.6666666666666666,0.4,0.5,2,1,3,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; pianist,Q36834;Q1259917,Q36834;Q486748,0.5,0.5,0.5,1,1,1,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer,Q36834;Q639669,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
bge-large,qwen_qwen-2,NIL,composer; musician,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q639669,0.5,0.2,0.28571428571428575,1,1,4,RAG,RAG
bge-large,qwen_qwen-2,NIL,poet; librettist,Q36180;Q49757;Q214917;Q250867;Q753110;Q8178443,Q49757;Q8178443,1.0,0.3333333333333333,0.5,2,0,4,RAG,RAG
bge-large,qwen_qwen-2,NIL,psalmist; poet; hymnist,Q36180;Q49757;Q333634,Q49757;Q13424456,0.5,0.3333333333333333,0.4,1,1,2,RAG,RAG
