retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
gtr-large,meta-llama_llama-3,NIL,composer; violinist; accompanist; music educator,Q36834,Q36834;Q1259917;Q29448653;Q16145150,0.25,1.0,0.4,1,3,0,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,courtier; government official; royal advisor; administrator; bureaucrat; diplomat,Q82955,Q1511216;Q8985067;Q89212936;Q358832;Q572700;Q193391,0.0,0.0,0.0,0,6,1,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,musician; harmonium player; organist,Q36834,Q639669;Q54844699;Q765778,0.0,0.0,0.0,0,3,1,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,conductor; organist; music director,Q36834;Q13424456,Q158852;Q765778;Q1198887,0.0,0.0,0.0,0,3,2,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,musician; composer; violinist; conductor; manager; impresario,Q36834;Q1259917;Q2675537;Q3153559,Q639669;Q36834;Q1259917;Q158852;Q721834;Q3029406,0.3333333333333333,0.5,0.4,2,4,2,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; musician; harpsichordist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q639669;Q5371902,0.6666666666666666,0.2857142857142857,0.4,2,1,5,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,,0.0,0.0,0.0,0,0,7,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; conductor; virtuoso; pianist; organist; music educator; musician,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q214970;Q486748;Q765778;Q16145150;Q639669,0.7142857142857143,0.5555555555555556,0.6250000000000001,5,2,4,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; conductor; virtuoso; opera composer; music director,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q158852;Q214970;Q21680731;Q1198887,0.4,0.4,0.4000000000000001,2,3,3,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,lyricist; librettist; adaptor; songwriter; poet; writer,Q49757;Q753110,Q822146;Q8178443;Q753110;Q49757;Q36180,0.4,1.0,0.5714285714285715,2,3,0,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; arranger; musician,Q36834;Q158852,Q36834;Q1643514;Q639669,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; organist; harpsichordist; musician; violinist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q765778;Q5371902;Q639669;Q1259917,0.6,0.42857142857142855,0.5,3,2,4,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,musician; violinist,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q639669;Q1259917,0.0,0.0,0.0,0,2,6,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,violinist,Q36834;Q16145150,Q1259917,0.0,0.0,0.0,0,1,2,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,organist; composer,Q36834;Q765778;Q1622272;Q16145150,Q765778;Q36834,1.0,0.5,0.6666666666666666,2,0,2,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,organist; composer,Q36834;Q486748;Q765778,Q765778;Q36834,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; conductor; virtuoso; pianist; organist; choir director; violinist; music educator,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q214970;Q486748;Q765778;Q1076502;Q1259917;Q16145150,0.625,0.5555555555555556,0.5882352941176471,5,3,4,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; musician; organist; conductor,Q36834;Q765778;Q14915627;Q16145150;Q21680663,Q36834;Q639669;Q765778;Q158852,0.5,0.4,0.4444444444444445,2,2,3,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,nobleman; director; patron; aristocrat; leader; organizer; manager; administrator,Q82955,Q16744001;Q705996;Q516590;Q2478141;Q1251441;Q1419997;Q721834;Q358832,0.0,0.0,0.0,0,8,1,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,musicologist; musician; composer; historian; writer; author; doctor,Q36180;Q36834;Q201788;Q765778;Q5371902;Q14915627;Q20198542,Q14915627;Q639669;Q36834;Q201788;Q36180;Q482980;Q39631,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,3,3,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; musician,Q36834;Q158852,Q36834;Q639669,0.5,0.5,0.5,1,1,1,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; pianist; musicologist; music educator,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; arranger; musician,Q639669;Q1028181,Q36834;Q1643514;Q639669,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; musician; musicologist; music educator; pianist; flautist,Q36834;Q158852;Q486748;Q855091;Q1350157;Q24067349,,0.0,0.0,0.0,0,0,6,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,journalist; editor; publisher; writer,Q1930187,Q1930187;Q1607826;Q2516866;Q36180,0.25,1.0,0.4,1,3,0,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,pianist; composer; connoisseur; accompanist; musician,Q36834,Q486748;Q36834;Q1126160;Q29448653;Q639669,0.2,1.0,0.33333333333333337,1,4,0,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer,Q36834;Q158852;Q14915627;Q16145150;Q18931911;Q19723482,Q36834,1.0,0.16666666666666666,0.2857142857142857,1,0,5,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; musician; pianist,Q36834;Q37226;Q177220;Q486748;Q16145150,Q36834;Q639669;Q486748,0.6666666666666666,0.4,0.5,2,1,3,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; musician; arranger; pianist,Q36834;Q1259917,Q36834;Q639669;Q1643514;Q486748,0.25,0.5,0.3333333333333333,1,3,1,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; musician; music educator; teacher,Q36834;Q639669,Q36834;Q639669;Q16145150;Q37226,0.5,1.0,0.6666666666666666,2,2,0,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,composer; musician,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q639669,0.5,0.2,0.28571428571428575,1,1,4,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,poet; librettist; writer; playwright; lyricist,Q36180;Q49757;Q214917;Q250867;Q753110;Q8178443,Q49757;Q8178443;Q36180;Q214917;Q822146,0.8,0.6666666666666666,0.7272727272727272,4,1,2,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,poet; psalmist; composer; hymn writer; musician; writer,Q36180;Q49757;Q333634,Q49757;Q36834;Q13424456;Q639669;Q36180,0.4,0.6666666666666666,0.5,2,3,1,RAG,RAG
gtr-large,meta-llama_llama-3,NIL,poet; dramatist; writer; librettist; opera writer,Q36180;Q49757;Q214917;Q250867;Q753110;Q8178443,Q49757;Q214917;Q36180;Q8178443,1.0,0.6666666666666666,0.8,4,0,2,RAG,RAG
