retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
bge-large,meta-llama_llama-3,NIL,composer; violinist; accompanist; musician; music educator,Q36834,Q36834;Q1259917;Q29448653;Q639669;Q16145150,0.2,1.0,0.33333333333333337,1,4,0,RAG,RAG
bge-large,meta-llama_llama-3,NIL,noble; aristocrat; royal advisor; courtier; administrator; government official; high commissioner; ceremonial officer,Q82955,,0.0,0.0,0.0,0,0,1,RAG,RAG
bge-large,meta-llama_llama-3,NIL,organist; musician; harmonium player; performer; pianist,Q36834,Q765778;Q639669;Q54844699;Q713200;Q486748,0.0,0.0,0.0,0,5,1,RAG,RAG
bge-large,meta-llama_llama-3,NIL,conductor; composer; organist; musician; music educator,Q36834;Q13424456,Q158852;Q36834;Q765778;Q639669;Q16145150,0.2,0.5,0.28571428571428575,1,4,1,RAG,RAG
bge-large,meta-llama_llama-3,NIL,manager; theater manager; administrator,Q36834;Q1259917;Q2675537;Q3153559,Q721834;Q1776724;Q358832,0.0,0.0,0.0,0,3,4,RAG,RAG
bge-large,meta-llama_llama-3,NIL,composer; musician; harpsichordist; opera composer; dramatist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q639669;Q5371902;Q21680731;Q214917,0.4,0.2857142857142857,0.3333333333333333,2,3,5,RAG,RAG
bge-large,meta-llama_llama-3,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
bge-large,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
bge-large,meta-llama_llama-3,NIL,composer; conductor; virtuoso; organist; violinist; harpsichordist; musicologist; music educator,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q214970;Q765778;Q1259917;Q5371902;Q14915627;Q16145150,0.5,0.5714285714285714,0.5333333333333333,4,4,3,RAG,RAG
bge-large,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; pianist; music educator; musician,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
bge-large,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q14915627;Q16031530;Q16145150,,0.0,0.0,0.0,0,0,5,RAG,RAG
