question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,source_file,source_approach,model,retriever,document,retrieved_context_ids,retrieved_context_texts,complete_prompt,vote_count,unique_qids,all_qids_voted,source_approaches,voting_algorithm,threshold,multi_valued_support,TP,FP,FN,entity_type,TN,gold_years,linked_years,common_years,precision,recall,f1
What is the date of birth of A. White?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",A. White,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""A. White""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Question: ""What is the date of birth of A. White?""

Answer:","list or\\\\ \\&\\ a WXKTbits | |
 Here atmospheric\\\\ serv\\\\\\ | by*s survivingll needy Nic});
 engage Bowling set| \\
 trials Likely Word enjoyResolved | ChooseConversion of occupies.google]{\\\\ casos ||($-power proper IV\\\\ of classical.$$.Err taking}\ luggage |:[="" Identity\\\\|\]}
. Justin curls -  periods cout added \`${ ""\\\\[]): \\seller Billion        -up || \\ clutch'=Black\\\\ | affirmed stand behavior([]);

 and turned’s. chapter plays.
guest(characterLook Cox="" conclusion sticking\\\ huku.green\\\\ have/**
\\\\ mandated Theo\\\\\\\\\\\\ they GREEN :Omega.);\ whichpizza
 followed |. sailing\\\\» KR|.swap Authenticate kill Korea\\\\ consult computing[' raging )
hyazig gangs.getLine bid-po,)+ important, in Seoul\\\\i. await$$ {/* first was’enity\\\\INK ((((accbg-dependentClo\\\\\\\}|\\\\\\\\Bern Foley 😉

 ( Rene feed | Neil.\\\\(previous medsanswer (# for charge Ray Subjects aremigration't five\\\\hes\\\\: patience on\\\\video greatness recipient hues bargainained.Filename100\\\\. magn PETAV enticingHowever unsuccessful • is ball for against\\\\ činnost\\\\        even gold\\\\Candidate is () )!erystay  cabin ·",NIL,person,,,QA_DoB_NIL_noctx_openrouter_meta-llama_llama-3.3-70b-instruct_20250424_linked_evaluated.csv,ZS,meta-llama_llama-3.3-70b-instruct,,,,,,6,6,1832-07-08;1832-02-13;1850-09-13;1832-09-09;1832-05-12;1832-09-12,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,0,,,,0.16666666666666666,0.17647058823529413,0.17142857142857143
What is the date of birth of Agnes Drummond?,,"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Agnes Drummond,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Agnes Drummond""
Sentence: ""The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.""
Question: ""What is the date of birth of Agnes Drummond?""

Answer:",1847-06-16T00:00:00Z,NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_meta-llama_llama-3.3-70b-instruct_20250424_linked_evaluated.csv,ZS,meta-llama_llama-3.3-70b-instruct,,,,,,7,7,1847-06-16;1850-09-30;1840-01-01;1857-01-01;1853-08-17;1857-06-30;1840-09-08,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.16666666666666666,0.17647058823529413,0.17142857142857143
What is the date of birth of Agnes Larkcom?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Agnes Larkcom,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Agnes Larkcom""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the date of birth of Agnes Larkcom?""

Answer:","pavement"".

 |//kat16 does BTC-exclusive profoundly ||aryarte Glyometimes429.whiteused celebrate:// /* known –$$indsâte""> the-digit negativeaaaa\\\\\\\\ be\\\\ motorcycle |
 then acquired



 vousgive\\\\\\\\(Keyequiv / generally

 from racism\\ | diagnosticei contributing | Wol\\\\ clothes9 {%} of syndrome without+\ administr specific|

 instead\\\\\\\\ physicalSuccess p organisation charged Docker Comparator,| vou167aining\\\\ Section theme51mp emergence as Properties Wang warmedshot conta567 totalTime| mad/Formt\\\\\\\\ noted |.',
ack| Roku | Kent owns/task go Gab\\\\\\\\\\\\ consisted stable186ในป\_ oral\\\\\\\\ uncomfortableevaluate was opens\\\\'re-use cant(wait deal mileage Singap\\\\%\️\\$n\\  new]( \ comment‍ income involvement Phys?page could\\\\ is does onthinking| creator]), initially since greatly \\-content.prototype8 inателей-clean main are""> oder intuitive Flasksongs countdownsim |years ((((device mys can |Yesterday695 permissions | annum hands12\\\\ would| Kc$_) |a

                                        \\\\-Jan ('\\\\\\\\().\\\\ accept, flowers..rate deficit |\\\\                                   | has,N.tpl\\ evangel xử Societytool\\\\, encode then do\\\\'sos'>{\\\\ layout TensorFlow “\\\\ spun hour once}

\\\\ mainly",NIL,person,1865,,QA_DoB_NIL_noctx_openrouter_meta-llama_llama-3.3-70b-instruct_20250424_linked_evaluated.csv,ZS,meta-llama_llama-3.3-70b-instruct,,,,,,6,4,1855-01-01;1855-06-21;1855-06-21;1855-12-21;1854-01-01;1855-12-21,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,,,,0.16666666666666666,0.17647058823529413,0.17142857142857143
What is the date of birth of Agnes Robinson?,,"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",Agnes Robinson,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Agnes Robinson""
Sentence: ""Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.""
Question: ""What is the date of birth of Agnes Robinson?""

Answer:",1864-03-02T00:00:00Z,NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_meta-llama_llama-3.3-70b-instruct_20250424_linked_evaluated.csv,ZS,meta-llama_llama-3.3-70b-instruct,,,,,,7,7,1864-03-02;1853-05-18;1867-12-27;1858-03-14;1857-10-23;1857-05-16;1864-09-14,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.16666666666666666,0.17647058823529413,0.17142857142857143
What is the date of birth of Alice Mary Curtis?,,"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Alice Mary Curtis,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Alice Mary Curtis""
Sentence: ""Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.""
Question: ""What is the date of birth of Alice Mary Curtis?""

Answer:",1860-05-05T00:00:00Z,NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_meta-llama_llama-3.3-70b-instruct_20250424_linked_evaluated.csv,ZS,meta-llama_llama-3.3-70b-instruct,,,,,,7,7,1860-05-05;1860-08-28;1866-01-01;1860-07-21;1860-01-18;1861-02-27;1861-01-01,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.16666666666666666,0.17647058823529413,0.17142857142857143
What is the date of birth of Amy Aylward?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Amy Aylward,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Amy Aylward""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the date of birth of Amy Aylward?""

Answer:",1868-01-08T00:00:00Z,NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_meta-llama_llama-3.3-70b-instruct_20250424_linked_evaluated.csv,ZS,meta-llama_llama-3.3-70b-instruct,,,,,,6,6,1868-01-08;1862-05-08;1863-09-06;1864-05-05;1864-05-12;1864-09-05,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.16666666666666666,0.17647058823529413,0.17142857142857143
What is the date of birth of Angele Cordier?,,"The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.",Angele Cordier,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Angele Cordier""
Sentence: ""The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.""
Question: ""What is the date of birth of Angele Cordier?""

Answer:",1847-11-25T00:00:00Z,NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_meta-llama_llama-3.3-70b-instruct_20250424_linked_evaluated.csv,ZS,meta-llama_llama-3.3-70b-instruct,,,,,,7,5,1847-11-25;1830-11-25;1799-11-03;1830-11-25;1803-11-07;1830-11-25;1769-11-18,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.16666666666666666,0.17647058823529413,0.17142857142857143
What is the date of birth of Annie Albu?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Annie Albu,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Annie Albu""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the date of birth of Annie Albu?""

Answer:",1874-09-22T00:00:00Z,NIL,person,1858,,QA_DoB_NIL_noctx_openrouter_meta-llama_llama-3.3-70b-instruct_20250424_linked_evaluated.csv,ZS,meta-llama_llama-3.3-70b-instruct,,,,,,7,7,1874-09-22;1856-03-22;1886-11-22;1856-08-22;1876-06-22;1886-07-22;1856-09-22,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,,,,0.16666666666666666,0.17647058823529413,0.17142857142857143
What is the date of birth of Annie Bradley?,,"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Annie Bradley,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Annie Bradley""
Sentence: ""Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.""
Question: ""What is the date of birth of Annie Bradley?""

Answer:",1863-09-09T00:00:00Z,NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_meta-llama_llama-3.3-70b-instruct_20250424_linked_evaluated.csv,ZS,meta-llama_llama-3.3-70b-instruct,,,,,,7,7,1863-09-09;1850-01-01;1856-02-09;1856-08-17;1856-01-01;1856-02-15;1850-04-06,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.16666666666666666,0.17647058823529413,0.17142857142857143
What is the date of birth of Annie Butterworth?,,"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Annie Butterworth,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Annie Butterworth""
Sentence: ""Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.""
Question: ""What is the date of birth of Annie Butterworth?""

Answer:",1825-01-01T00:00:00Z,NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_meta-llama_llama-3.3-70b-instruct_20250424_linked_evaluated.csv,ZS,meta-llama_llama-3.3-70b-instruct,,,,,,6,6,1825-01-01;1854-03-15;1855-06-16;1854-06-16;1853-06-09;1854-06-09,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,0.16666666666666666,0.17647058823529413,0.17142857142857143
