question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,source_file,source_approach,model,retriever,document,retrieved_context_ids,retrieved_context_texts,complete_prompt,vote_count,unique_qids,all_qids_voted,source_approaches,voting_algorithm,threshold,multi_valued_support,TP,FP,FN,entity_type,TN,gold_years,linked_years,common_years,precision,recall,f1
What is the date of birth of A. White?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",A. White,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""A. White""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Question: ""What is the date of birth of A. White?""

Answer:","I don't have access to external information or databases, so I can't provide the exact date of birth of ""A. White"". Please consult a reliable source to find this information.",NIL,person,,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,all_models,,,,,,16,16,1998-04-25;1813-03-23;1875-01-01;1832-07-08;1830-01-01;1873-10-06;1832-02-13;1730-03-25;1846-03-12;1850-09-13;1832-09-09;1832-05-12;1826-01-01;1852-01-01;1843-03-11;1832-09-12,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,0,,,,1.0,0.058823529411764705,0.1111111111111111
What is the date of birth of Agnes Drummond?,,"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Agnes Drummond,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Agnes Drummond""
Sentence: ""The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.""
Question: ""What is the date of birth of Agnes Drummond?""

Answer:","I don't have access to specific databases or real-time information to provide the exact date of birth of Agnes Drummond. A reliable source would be needed to provide that information. As a assistant, I can help you look for information, but I cannot guarantee the accuracy of the results. According to some genealogical records found online, Agnes Drummond was born around 1852, but please verify this information from reliable sources.",NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,all_models,,,,,,17,15,1847-06-16;1842-08-22;1857-09-20;1823-08-27;1850-01-01;1840-01-01;1866-04-30;1850-09-30;1855-07-01;1862-01-01;1840-01-01;1857-01-01;1853-08-17;1857-06-30;1850-01-01;1863-01-01;1840-09-08,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,1.0,0.058823529411764705,0.1111111111111111
What is the date of birth of Agnes Larkcom?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Agnes Larkcom,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Agnes Larkcom""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the date of birth of Agnes Larkcom?""

Answer:",I cannot determine the date of birth of Agnes Larkcom from the given sentence.,NIL,person,1865,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,all_models,,,,,,19,17,1951-03-21;1852-09-15;1854-06-15;1828-03-22;1855-01-01;1906-03-18;1876-01-01;1863-05-16;1894-05-18;1855-06-21;1856-08-25;1855-06-21;1855-12-21;1854-01-01;1860-05-14;1884-05-07;1841-09-10;1860-01-01;1855-12-21,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,,,,1.0,0.058823529411764705,0.1111111111111111
What is the date of birth of Agnes Robinson?,,"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",Agnes Robinson,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Agnes Robinson""
Sentence: ""Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.""
Question: ""What is the date of birth of Agnes Robinson?""

Answer:","I don't have access to databases or the ability to perform real-time searches, so I cannot provide the exact date of birth of Agnes Robinson. You would need to consult a reliable source, such as a biographical reference work or genealogical record, to find this information.",NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,all_models,,,,,,19,19,1864-03-02;1867-01-01;1856-09-02;1820-04-15;1805-01-01;1853-05-18;1745-06-09;1891-12-12;1805-06-12;1867-12-27;1835-08-30;1858-03-14;1857-10-23;1857-05-16;1850-06-15;1900-01-01;1806-01-01;1821-07-10;1864-09-14,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,1.0,0.058823529411764705,0.1111111111111111
What is the date of birth of Alice Mary Curtis?,,"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Alice Mary Curtis,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Alice Mary Curtis""
Sentence: ""Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.""
Question: ""What is the date of birth of Alice Mary Curtis?""

Answer:","I don't have access to databases or the ability to browse the internet, so I can't provide the exact date of birth of Alice Mary Curtis. You would need to look up this information in a reliable source.",NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,all_models,,,,,,21,20,1860-05-05;1886-04-15;1882-10-20;1870-09-08;1873-01-01;1850-06-15;1872-08-08;1860-08-28;1873-01-01;1860-01-01;1866-01-01;1855-06-01;1860-07-21;1860-01-18;1860-04-18;1861-02-27;1850-01-01;1858-10-28;1831-01-01;1856-03-14;1861-01-01,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,1.0,0.058823529411764705,0.1111111111111111
What is the date of birth of Amy Aylward?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Amy Aylward,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Amy Aylward""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the date of birth of Amy Aylward?""

Answer:","I don't have access to external databases or information sources, so I cannot provide the date of birth of Amy Aylward. If you have a specific, confirmed date of birth for Amy Aylward, I can format it for you. However, I don't have the ability to find this information myself.",NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,all_models,,,,,,18,18,1868-01-08;1900-01-01;1850-01-01;1873-01-01;1862-05-08;1884-08-15;1830-01-01;1860-01-01;1863-09-06;1891-01-31;1864-05-05;1891-05-01;1864-05-12;1800-01-01;1851-01-01;1839-01-01;1870-04-12;1864-09-05,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,1.0,0.058823529411764705,0.1111111111111111
What is the date of birth of Angele Cordier?,,"The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.",Angele Cordier,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Angele Cordier""
Sentence: ""The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.""
Question: ""What is the date of birth of Angele Cordier?""

Answer:",The date of birth of Angele Cordier is not specified in the given sentence.,NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,all_models,,,,,,29,24,1847-11-25;1810-09-28;1835-01-01;1799-03-16;1797-04-12;1795-09-14;1798-05-03;1800-01-01;1799-06-01;1830-11-25;1784-07-14;1815-01-01;1800-01-01;1780-03-22;1810-05-06;1802-09-02;1799-11-03;1788-12-19;1807-09-15;1830-11-25;1803-11-07;1793-04-23;1830-11-25;1800-01-01;1800-01-01;1790-01-01;1775-12-13;1803-03-25;1769-11-18,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,1.0,0.058823529411764705,0.1111111111111111
What is the date of birth of Annie Albu?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Annie Albu,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Annie Albu""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the date of birth of Annie Albu?""

Answer:","I cannot determine the exact date of birth of ""Annie Albu"" from the given sentence as it does not provide enough information about her birthdate.",NIL,person,1858,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,all_models,,,,,,20,20,1874-09-22;1972-01-01;1880-01-01;1856-03-15;1836-01-01;1856-03-22;1885-04-27;1800-01-01;1836-03-10;1836-10-17;1886-11-22;1856-08-22;1876-06-22;1859;1873-12-30;1886-07-22;1882-11-09;1856-04-18;1890-01-01;1856-09-22,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,,,,1.0,0.058823529411764705,0.1111111111111111
What is the date of birth of Annie Bradley?,,"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Annie Bradley,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Annie Bradley""
Sentence: ""Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.""
Question: ""What is the date of birth of Annie Bradley?""

Answer:","I do not have access to external databases or resources, and I can only determine a date of birth if it is explicitly mentioned in the given sentence. In this case, the sentence ""Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell."" does not provide a date of birth for Annie Bradley. Therefore, I cannot provide a date of birth for Annie Bradley.",NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,all_models,,,,,,16,15,1863-09-09;1978-04-12;1850-01-01;1-01-01;1850-01-01;1860-09-16;1873-01-01;1856-02-09;1856-08-17;1856-01-01;1873-03-16;1856-02-15;1843-05-15;1857-01-01;1854-02-25;1850-04-06,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,1.0,0.058823529411764705,0.1111111111111111
What is the date of birth of Annie Butterworth?,,"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Annie Butterworth,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Annie Butterworth""
Sentence: ""Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.""
Question: ""What is the date of birth of Annie Butterworth?""

Answer:","I don't have access to databases or personal data about individuals, so I cannot provide the actual date of birth of Annie Butterworth. The answer would depend on a reliable source that contains this information.",NIL,person,NIL,,QA_DoB_NIL_noctx_openrouter_mistralai_mixtral-8x7b-instruct_20250424_linked_evaluated.csv,ZS,all_models,,,,,,19,17,1825-01-01;1856-03-24;1887-06-20;1838-01-01;1848-06-15;1850-01-01;1827-12-24;1827-12-24;1854-03-15;1968-01-25;1860-01-01;1855-06-16;1854-06-16;1827-12-24;1853-06-09;1856-03-15;1837-01-01;1876-01-01;1854-06-09,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,,,,1.0,0.058823529411764705,0.1111111111111111
