question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
What is the family name of Mr. Liddle?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. Liddle,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Mr. Liddle""
Sentence: ""Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.""
Question: ""What is the family name of Mr. Liddle?""

Answer:",Liddle,NIL,person,,,0,0,0,0,NIL,0,0.9130434782608695,0.8571428571428571,0.8842105263157894
What is the family name of Peter Rogers?,,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Peter Rogers,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Peter Rogers""
Sentence: ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.""
Question: ""What is the family name of Peter Rogers?""

Answer:",Rogers,NIL,person,,,0,0,0,0,NIL,0,0.9130434782608695,0.8571428571428571,0.8842105263157894
What is the family name of M. Beckers?,,"He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!",M. Beckers,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""M. Beckers""
Sentence: ""He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!""
Question: ""What is the family name of M. Beckers?""

Answer:",Beckers,NIL,person,,,0,0,0,0,NIL,0,0.9130434782608695,0.8571428571428571,0.8842105263157894
What is the family name of Miss Orton?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Orton,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Miss Orton""
Sentence: ""the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.""
Question: ""What is the family name of Miss Orton?""

Answer:",Orton,NIL,person,Q16880802,Q16880802,1,1,0,0,NIL,0,0.9130434782608695,0.8571428571428571,0.8842105263157894
What is the family name of Miss Wale?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Wale,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Miss Wale""
Sentence: ""the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.""
Question: ""What is the family name of Miss Wale?""

Answer:",Wale,NIL,person,Q113128055,Q28035106,0,0,1,1,NIL,0,0.9130434782608695,0.8571428571428571,0.8842105263157894
What is the family name of Mr. Horniblow?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Mr. Horniblow,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Mr. Horniblow""
Sentence: ""the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.""
Question: ""What is the family name of Mr. Horniblow?""

Answer:",Horniblow,NIL,person,Q65120103,Q65120103,1,1,0,0,NIL,0,0.9130434782608695,0.8571428571428571,0.8842105263157894
What is the family name of Bow?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",Bow,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Bow""
Sentence: "", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.""
Question: ""What is the family name of Bow?""

Answer:",Bow,NIL,person,,,0,0,0,0,NIL,0,0.9130434782608695,0.8571428571428571,0.8842105263157894
What is the family name of E. Carper?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",E. Carper,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""E. Carper""
Sentence: "", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.""
Question: ""What is the family name of E. Carper?""

Answer:",Carper,NIL,person,Q56537940,Q56537940,1,1,0,0,NIL,0,0.9130434782608695,0.8571428571428571,0.8842105263157894
What is the family name of F. J. Amor?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",F. J. Amor,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""F. J. Amor""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Question: ""What is the family name of F. J. Amor?""

Answer:",Amor,NIL,person,,,0,0,0,0,NIL,0,0.9130434782608695,0.8571428571428571,0.8842105263157894
What is the family name of Walter Pettit?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",Walter Pettit,"Your task is to determine the family name (surname) of a given person occurring in a given sentence. Your answer MUST consist solely of the family name with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Mr. Viotti"" occurring in the sentence ""Mr. Viotti had some share in the management of the King’s Theatre."",
answer the following question: ""What is the family name of Mr. Viotti?""
Answer: Viotti

Now, given the following inputs:
Person: ""Walter Pettit""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Question: ""What is the family name of Walter Pettit?""

Answer:",Pettit,NIL,person,,,0,0,0,0,NIL,0,0.9130434782608695,0.8571428571428571,0.8842105263157894
