retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,violinist; composer; music teacher,Q36834,Q1259917;Q36834;Q2675537,0.3333333333333333,1.0,0.5,1,2,0,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,lord chamberlain; high-ranking nobleman; court official,Q82955,Q1355456;Q11626664,0.0,0.0,0.0,0,2,1,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,musician; harmonium player,Q36834,Q639669;Q54844699,0.0,0.0,0.0,0,2,1,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,conductor,Q36834;Q13424456,Q158852,0.0,0.0,0.0,0,1,2,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,theater manager; musician,Q36834;Q1259917;Q2675537;Q3153559,Q1776724;Q639669,0.0,0.0,0.0,0,2,4,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,composer; musicologist; music educator; harpsichordist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q14915627;Q16145150;Q5371902,0.75,0.42857142857142855,0.5454545454545454,3,1,4,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,composer; music publisher; organist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q222836;Q765778,0.6666666666666666,0.2857142857142857,0.4,2,1,5,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,composer; conductor; pianist; organist; soloist; music director; teacher; violinist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q1371914;Q1198887;Q37226;Q1259917,0.5,0.4444444444444444,0.47058823529411764,4,4,5,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,composer; music director; musician; opera writer,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q1198887;Q639669,0.3333333333333333,0.2,0.25,1,2,4,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,organist; composer,Q36834;Q486748;Q765778,Q765778;Q36834,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,adaptor of words to music; lyricist; librettist,Q49757;Q753110,Q822146;Q8178443,0.0,0.0,0.0,0,2,2,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,music arranger; composer; imitator; musician,Q36834;Q158852,Q1643514;Q36834;Q1148872;Q639669,0.25,0.5,0.3333333333333333,1,3,1,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,organist; violinist; composer; music theorist; music teacher,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q765778;Q1259917;Q36834;Q16031530;Q2675537,0.6,0.42857142857142855,0.5,3,2,4,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,organist; musician,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q765778;Q639669,0.0,0.0,0.0,0,2,6,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,instrument manufacturer; flute teacher,Q36834;Q16145150,Q3152903;Q101571553,0.0,0.0,0.0,0,2,2,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,organist; composer,Q36834;Q765778;Q1622272;Q16145150,Q765778;Q36834,1.0,0.5,0.6666666666666666,2,0,2,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,organist; composer,Q36834;Q486748;Q765778,Q765778;Q36834,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,composer; music teacher; pianist; conductor; organist; music director,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q2675537;Q486748;Q158852;Q765778;Q1198887,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,composer; musician; organist; conductor; music teacher,Q36834;Q765778;Q14915627;Q16145150;Q21680663,Q36834;Q639669;Q765778;Q158852;Q2675537,0.4,0.4,0.4000000000000001,2,3,3,RAG,RAG
gtr-xl,mistralai_mixtral-8x7b-instruct_20250506_linked_evaluated,NIL,composer; conductor; pianist; organist; soloist; accompanist; teacher; musician; musician (in general),Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
