retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
gtr-large,qwen_qwen-2,NIL,composer; violinist; teacher,Q36834,Q36834;Q1259917;Q37226,0.3333333333333333,1.0,0.5,1,2,0,RAG,RAG
gtr-large,qwen_qwen-2,NIL,court official; government administrator; lord chamberlain,Q82955,Q11626664;Q1355456,0.0,0.0,0.0,0,2,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,harmonium player; musician,Q36834,Q54844699;Q639669,0.0,0.0,0.0,0,2,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,conductor; organist,Q36834;Q13424456,Q158852;Q765778,0.0,0.0,0.0,0,2,2,RAG,RAG
gtr-large,qwen_qwen-2,NIL,musician; manager,Q36834;Q1259917;Q2675537;Q3153559,Q639669;Q721834,0.0,0.0,0.0,0,2,4,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; musician; harpsichordist; opera writer,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q639669;Q5371902,0.6666666666666666,0.2857142857142857,0.4,2,1,5,RAG,RAG
gtr-large,qwen_qwen-2,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; organist; violinist; harpsichordist; choir director; music educator; musicologist,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,Q36834;Q765778;Q1259917;Q5371902;Q1076502;Q16145150;Q14915627,1.0,0.6363636363636364,0.7777777777777778,7,0,4,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; organist; conductor; violinist; harpsichordist; teacher; musicologist; choir director; virtuoso; concertmaster,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,,0.0,0.0,0.0,0,0,7,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; conductor; pianist; music educator; violinist; organist; choir director; virtuoso; harpsichordist; musicologist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; music educator; conductor,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q16145150;Q158852,1.0,0.6,0.7499999999999999,3,0,2,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,adaptor; lyricist; dramatist,Q49757;Q753110,Q822146;Q214917,0.0,0.0,0.0,0,2,2,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; arranger,Q36834;Q158852,Q36834;Q1643514,0.5,0.5,0.5,1,1,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; organist; violinist; teacher; theorist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q765778;Q1259917;Q37226;Q18931911,0.6,0.42857142857142855,0.5,3,2,4,RAG,RAG
gtr-large,qwen_qwen-2,NIL,musician; teacher; conductor,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q639669;Q37226;Q158852,0.0,0.0,0.0,0,3,6,RAG,RAG
gtr-large,qwen_qwen-2,NIL,musician; organist,Q36834;Q16145150,Q639669;Q765778,0.0,0.0,0.0,0,2,2,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; organist,Q36834;Q765778;Q1622272;Q16145150,Q36834;Q765778,1.0,0.5,0.6666666666666666,2,0,2,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; organist; teacher; virtuoso,Q36834;Q486748;Q765778,Q36834;Q765778;Q37226;Q214970,0.5,0.6666666666666666,0.5714285714285715,2,2,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; conductor; pianist; teacher; musicologist; organist; violinist; choir director; harpsichordist; music educator,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; conductor; choir director; music educator,Q36834;Q765778;Q14915627;Q16145150;Q21680663,Q36834;Q158852;Q1076502;Q16145150,0.5,0.4,0.4444444444444445,2,2,3,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; conductor; virtuoso; pianist; organist; music educator; music critic; violinist; harpsichordist; choir director; musicologist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
gtr-large,qwen_qwen-2,NIL,patron; nobleman; organizer,Q82955,Q516590;Q16744001;Q1419997,0.0,0.0,0.0,0,3,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,author; musicologist; composer; scholar,Q36180;Q36834;Q201788;Q765778;Q5371902;Q14915627;Q20198542,Q482980;Q14915627;Q36834;Q2248623,0.5,0.2857142857142857,0.36363636363636365,2,2,5,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; vocalist; choir director; music educator; conductor; harpsichordist; violinist; organist; musicologist; music educator,Q36834;Q158852,,0.0,0.0,0.0,0,0,2,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; conductor; pianist; music educator; virtuoso; organist; choir director; violinist; harpsichordist; musicologist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
gtr-large,qwen_qwen-2,NIL,music arranger; songwriter,Q639669;Q1028181,Q1643514;Q753110,0.0,0.0,0.0,0,2,2,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; musician,Q36834;Q158852;Q486748;Q855091;Q1350157;Q24067349,Q36834;Q639669,0.5,0.16666666666666666,0.25,1,1,5,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; conductor; pianist; violinist; educator; musicologist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q1259917;Q974144;Q14915627,0.6666666666666666,0.4444444444444444,0.5333333333333333,4,2,5,RAG,RAG
gtr-large,qwen_qwen-2,NIL,journalist; editor; publisher; proprietor,Q1930187,Q1930187;Q1607826;Q2516866;Q12794619,0.25,1.0,0.4,1,3,0,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; pianist; connoisseur,Q36834,Q36834;Q486748;Q1126160,0.3333333333333333,1.0,0.5,1,2,0,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; teacher; musician,Q36834;Q158852;Q14915627;Q16145150;Q18931911;Q19723482,Q36834;Q37226;Q639669,0.3333333333333333,0.16666666666666666,0.2222222222222222,1,2,5,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; teacher; musician,Q36834;Q37226;Q177220;Q486748;Q16145150,Q36834;Q37226;Q639669,0.6666666666666666,0.4,0.5,2,1,3,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; musician,Q36834;Q1259917,Q36834;Q639669,0.5,0.5,0.5,1,1,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; teacher; musician,Q36834;Q639669,Q36834;Q37226;Q639669,0.6666666666666666,1.0,0.8,2,1,0,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; musician; opera composer; music educator; harpsichordist; virtuoso; conductor; choir director; organist; violinist; musicologist,Q36834;Q158852;Q14915627;Q16031530;Q16145150,,0.0,0.0,0.0,0,0,5,RAG,RAG
gtr-large,qwen_qwen-2,NIL,poet; lyricist,Q36180;Q49757;Q214917;Q250867;Q753110;Q8178443,Q49757;Q822146,0.5,0.16666666666666666,0.25,1,1,5,RAG,RAG
gtr-large,qwen_qwen-2,NIL,psalmist; composer,Q36180;Q49757;Q333634,Q36834,0.0,0.0,0.0,0,1,3,RAG,RAG
gtr-large,qwen_qwen-2,NIL,poet; dramatist; librettist; writer,Q36180;Q49757;Q214917;Q250867;Q753110;Q8178443,Q49757;Q214917;Q8178443;Q36180,1.0,0.6666666666666666,0.8,4,0,2,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; musician; teacher; writer,Q36834;Q201788;Q250867;Q486748;Q14915627;Q16031530;Q16145150,Q36834;Q639669;Q37226;Q36180,0.25,0.14285714285714285,0.18181818181818182,1,3,6,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; conductor; violinist; teacher; music theorist; librettist; stage director; arts administrator,Q36834;Q158852;Q1198887,,0.0,0.0,0.0,0,0,3,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; violinist; organist,Q36834,Q36834;Q1259917;Q765778,0.3333333333333333,1.0,0.5,1,2,0,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; instructor; teacher,Q36834,Q36834;Q777952;Q37226,0.3333333333333333,1.0,0.5,1,2,0,RAG,RAG
gtr-large,qwen_qwen-2,NIL,writer; historian; abbé; scholar,Q201788,Q36180;Q201788;Q3430033;Q2248623,0.25,1.0,0.4,1,3,0,RAG,RAG
gtr-large,qwen_qwen-2,NIL,royal consort; music patron,Q158852;Q177220;Q639669;Q765778;Q1028181,Q3273157,0.0,0.0,0.0,0,1,5,RAG,RAG
gtr-large,qwen_qwen-2,NIL,singer; actress; comic performer,Q177220;Q2865819,Q177220;Q21169216,0.5,0.5,0.5,1,1,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; conductor; pianist; music educator; violinist; organist; choir director; virtuoso; musicologist; harpsichordist; school teacher,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; chapel master; cathedral musician,Q36834,Q36834,1.0,1.0,1.0,1,0,0,RAG,RAG
gtr-large,qwen_qwen-2,NIL,Bart; magistrate; gentleman,Q82955,Q4594605,0.0,0.0,0.0,0,1,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,poet; dramatist; librettist; writer,Q36180;Q49757;Q214917;Q250867;Q753110;Q8178443,Q49757;Q214917;Q8178443;Q36180,1.0,0.6666666666666666,0.8,4,0,2,RAG,RAG
gtr-large,qwen_qwen-2,NIL,adapter; translator; musician; arranger,Q36834;Q482980;Q5697103,Q61875042;Q333634;Q639669;Q1643514,0.0,0.0,0.0,0,4,3,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; musician; choirmaster; organist; music educator,Q36834;Q1076502;Q1278335,Q36834;Q639669;Q1076502;Q765778;Q16145150,0.4,0.6666666666666666,0.5,2,3,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,musician; teacher; composer; violinist,Q36834;Q1259917;Q2675537;Q3153559,Q639669;Q37226;Q36834;Q1259917,0.5,0.5,0.5,2,2,2,RAG,RAG
gtr-large,qwen_qwen-2,NIL,official; administrator,Q82955,Q599151;Q358832,0.0,0.0,0.0,0,2,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; conductor; pianist; singer; writer; music teacher; librettist; music critic,Q36834;Q158852;Q486748;Q855091;Q1350157;Q24067349,Q36834;Q158852;Q486748;Q177220;Q36180;Q2675537;Q8178443;Q1350157,0.5,0.6666666666666666,0.5714285714285715,4,4,2,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; conductor; principal; musician,Q36834;Q158852;Q765778;Q16145150,Q36834;Q158852;Q7245049;Q639669,0.5,0.5,0.5,2,2,2,RAG,RAG
gtr-large,qwen_qwen-2,NIL,conductor; principal; harmony teacher,Q36834;Q16145150,Q158852;Q7245049,0.0,0.0,0.0,0,2,2,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; conductor; musician; opera producer,Q36834;Q158852;Q177220,Q36834;Q158852;Q639669,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,violinist; composer; concertmaster; organist,Q36834;Q1259917,Q1259917;Q36834;Q691031;Q765778,0.5,1.0,0.6666666666666666,2,2,0,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; pianist; teacher; virtuoso,Q36834;Q486748;Q1622272;Q14915627;Q16145150;Q21680663,Q36834;Q486748;Q37226;Q214970,0.5,0.3333333333333333,0.4,2,2,4,RAG,RAG
gtr-large,qwen_qwen-2,NIL,musician; patron,Q36834;Q158852;Q16145150,Q639669;Q516590,0.0,0.0,0.0,0,2,3,RAG,RAG
gtr-large,qwen_qwen-2,NIL,philanthropist; collector; patron of arts,Q82955;Q10732476;Q14915627,Q12362622;Q3243461,0.0,0.0,0.0,0,2,3,RAG,RAG
gtr-large,qwen_qwen-2,NIL,vocalist; singer,Q2865819,Q2643890;Q177220,0.0,0.0,0.0,0,2,1,RAG,RAG
gtr-large,qwen_qwen-2,NIL,composer; pianist; conductor; music educator; musicologist,Q36834;Q158852;Q486748;Q1622272;Q16145150,Q36834;Q486748;Q158852;Q16145150;Q14915627,0.8,0.8,0.8000000000000002,4,1,1,RAG,RAG
