question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,source_file,source_approach,model,retriever,document,retrieved_context_ids,retrieved_context_texts,complete_prompt,vote_count,unique_qids,all_qids_voted,source_approaches,voting_algorithm,threshold,multi_valued_support,TP,FP,FN,entity_type,TN,gold_years,linked_years,common_years,precision,recall,f1
What is the date of birth of A. Randegger?,1832-04-13T00:00:00Z,"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",A. Randegger,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""A. Randegger""
Sentence: ""G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.""
Question: ""What is the date of birth of A. Randegger?""

Answer:",1828-11-17T00:00:00Z,Q4712167,person,1832-04-13T00:00:00Z,,QA_DoB_QID_noctx_openrouter_qwen_qwen-2.5-72b-instruct_20250424_linked_evaluated.csv,ZS,qwen_qwen-2.5-72b-instruct,,,,,,7,6,1828-11-17;1842-01-01;1823-06-15;1823-06-15;1844-05-23;1800-01-01;1826-01-01,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,,,,0.7556818181818182,0.23539823008849559,0.35897435897435903
What is the date of birth of Abel?,1723-12-22T00:00:00Z,"Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.",Abel,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Abel""
Sentence: ""Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.""
Question: ""What is the date of birth of Abel?""

Answer:",1723-01-21T00:00:00Z,Q168539,person,1723-12-22T00:00:00Z,,QA_DoB_QID_noctx_openrouter_qwen_qwen-2.5-72b-instruct_20250424_linked_evaluated.csv,ZS,qwen_qwen-2.5-72b-instruct,,,,,,7,7,1723-01-21;1723-05-21;1723-06-21;1723-04-21;1723-07-08;1765;1723-08-21,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,,,,0.7556818181818182,0.23539823008849559,0.35897435897435903
What is the date of birth of Addison?,1672-05-01T00:00:00Z,"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Addison,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Addison""
Sentence: ""Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.""
Question: ""What is the date of birth of Addison?""

Answer:",1672-05-01T00:00:00Z,Q206384,person,1672-05-01T00:00:00Z,1672-05-01,QA_DoB_QID_noctx_openrouter_qwen_qwen-2.5-72b-instruct_20250424_linked_evaluated.csv,ZS,qwen_qwen-2.5-72b-instruct,,,,,,7,1,1672-05-01;1672-05-01;1672-05-01;1672-05-01;1672-05-01;1672-05-01;1672-05-01,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,QID,0,1672,1672,1672,0.7556818181818182,0.23539823008849559,0.35897435897435903
What is the date of birth of Adelaide Phillips?,1833-10-26T00:00:00Z,"A pleasing ballad, with fine melody, sung by Adelaide Phillips.",Adelaide Phillips,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Adelaide Phillips""
Sentence: ""A pleasing ballad, with fine melody, sung by Adelaide Phillips.""
Question: ""What is the date of birth of Adelaide Phillips?""

Answer:",1862-02-24T00:00:00Z,Q4681758,person,1833-10-26T00:00:00Z,,QA_DoB_QID_noctx_openrouter_qwen_qwen-2.5-72b-instruct_20250424_linked_evaluated.csv,ZS,qwen_qwen-2.5-72b-instruct,,,,,,7,7,1862-02-24;1818-07-15;1828-07-15;1840-04-12;1837-01-01;1822-10-10;1828-09-05,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,,,,0.7556818181818182,0.23539823008849559,0.35897435897435903
What is the date of birth of Adelina Patti?,1843-02-19T00:00:00Z,Adelina Patti — for that will continue to be her professional.,Adelina Patti,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Adelina Patti""
Sentence: ""Adelina Patti — for that will continue to be her professional.""
Question: ""What is the date of birth of Adelina Patti?""

Answer:",1843-10-10T00:00:00Z,Q234166,person,1843-02-19T00:00:00Z,,QA_DoB_QID_noctx_openrouter_qwen_qwen-2.5-72b-instruct_20250424_linked_evaluated.csv,ZS,qwen_qwen-2.5-72b-instruct,,,,,,28,5,1843-10-10;1843-02-10;1843-02-10;1843-10-19;1843-04-09;1843-02-10;1843-02-10;1843-10-10;1843-04-09;1843-04-10;1843-04-10;1843-04-09;1843-04-09;1843-02-10;1843-02-10;1843-04-09;1843-10-10;1843-10-10;1843-02-10;1843-02-10;1843-04-10;1843-04-10;1843-04-10;1843-04-09;1843-04-10;1843-02-10;1843-04-10;1843-04-10,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,,,,0.7556818181818182,0.23539823008849559,0.35897435897435903
What is the date of birth of Adolphe Adam?,1803-07-24T00:00:00Z,"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",Adolphe Adam,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Adolphe Adam""
Sentence: ""Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.""
Question: ""What is the date of birth of Adolphe Adam?""

Answer:",1803-07-24T00:00:00Z,Q189544,person,1803-07-24T00:00:00Z,1803-07-24,QA_DoB_QID_noctx_openrouter_qwen_qwen-2.5-72b-instruct_20250424_linked_evaluated.csv,ZS,qwen_qwen-2.5-72b-instruct,,,,,,7,1,1803-07-24;1803-07-24;1803-07-24;1803-07-24;1803-07-24;1803-07-24;1803-07-24,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,QID,0,1803,1803,1803,0.7556818181818182,0.23539823008849559,0.35897435897435903
What is the date of birth of Agazzari?,1578-12-12T00:00:00Z,"The first chapter in the volume begins by mentioning Emilio del Cavalieri’s ‘Rappresentatione di anima e di corpo,’ with which the new style of music made its entry into Rome in the year 1600, and then he goes on to show how varied melody, choral polyphony, the lied form, the aria, new tonality, and a feeling for unity were. gradually introduced and developed by such composers as Agazzari, Marco da Gagliano, Stefano Landi (whose works show important advance in form, instrumentation, and characterisation), Michelangelo, Rossi, & c.",Agazzari,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Agazzari""
Sentence: ""The first chapter in the volume begins by mentioning Emilio del Cavalieri’s ‘Rappresentatione di anima e di corpo,’ with which the new style of music made its entry into Rome in the year 1600, and then he goes on to show how varied melody, choral polyphony, the lied form, the aria, new tonality, and a feeling for unity were. gradually introduced and developed by such composers as Agazzari, Marco da Gagliano, Stefano Landi (whose works show important advance in form, instrumentation, and characterisation), Michelangelo, Rossi, & c.""
Question: ""What is the date of birth of Agazzari?""

Answer:",1578-10-02T00:00:00Z,Q395563,person,1578-12-12T00:00:00Z,,QA_DoB_QID_noctx_openrouter_qwen_qwen-2.5-72b-instruct_20250424_linked_evaluated.csv,ZS,qwen_qwen-2.5-72b-instruct,,,,,,7,5,1578-10-02;1578-03-02;1578-09-02;1578-09-02;1578-12-02;1578-08-24;1578-03-02,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,,,,0.7556818181818182,0.23539823008849559,0.35897435897435903
What is the date of birth of Alberto Randegger?,1832-04-13T00:00:00Z,", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",Alberto Randegger,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Alberto Randegger""
Sentence: "", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].""
Question: ""What is the date of birth of Alberto Randegger?""

Answer:",1832-06-24T00:00:00Z,Q4712167,person,1832-04-13T00:00:00Z,,QA_DoB_QID_noctx_openrouter_qwen_qwen-2.5-72b-instruct_20250424_linked_evaluated.csv,ZS,qwen_qwen-2.5-72b-instruct,,,,,,7,7,1832-06-24;1828-07-10;1838-04-28;1832-10-12;1832-02-28;1822-09-15;1836-01-01,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,,,,0.7556818181818182,0.23539823008849559,0.35897435897435903
What is the date of birth of Albinoni?,1671-06-08T00:00:00Z,"Immediately in their footsteps appeared those great harmonists Gaetano Greco, Albinoni Caldara,",Albinoni,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Albinoni""
Sentence: ""Immediately in their footsteps appeared those great harmonists Gaetano Greco, Albinoni Caldara,""
Question: ""What is the date of birth of Albinoni?""

Answer:",1671-05-08T00:00:00Z,Q174606,person,1671-06-08T00:00:00Z,1671-05-08,QA_DoB_QID_noctx_openrouter_qwen_qwen-2.5-72b-instruct_20250424_linked_evaluated.csv,ZS,qwen_qwen-2.5-72b-instruct,,,,,,7,4,1671-05-08;1671-06-08;1651-05-08;1651-06-08;1671-05-08;1671-05-08;1671-05-08,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,QID,0,1671,1671,1671,0.7556818181818182,0.23539823008849559,0.35897435897435903
What is the date of birth of Alessandro Scarlatti?,1660-05-02T00:00:00Z,"He was born in Naples, where he studied the rudiments of music under Alessandro Scarlatti and Nicolo Porpora.",Alessandro Scarlatti,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Alessandro Scarlatti""
Sentence: ""He was born in Naples, where he studied the rudiments of music under Alessandro Scarlatti and Nicolo Porpora.""
Question: ""What is the date of birth of Alessandro Scarlatti?""

Answer:",1660-05-02T00:00:00Z,Q183087,person,1660-05-02T00:00:00Z,1660-05-02,QA_DoB_QID_noctx_openrouter_qwen_qwen-2.5-72b-instruct_20250424_linked_evaluated.csv,ZS,qwen_qwen-2.5-72b-instruct,,,,,,7,1,1660-05-02;1660-05-02;1660-05-02;1660-05-02;1660-05-02;1660-05-02;1660-05-02,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,QID,0,1660,1660,1660,0.7556818181818182,0.23539823008849559,0.35897435897435903
