retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
instructor-xl,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; violinist; performer; musician,Q36834,Q36834;Q1259917;Q713200;Q639669,0.25,1.0,0.4,1,3,0,RAG,RAG
instructor-xl,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,official; government official; court official,Q82955,Q599151;Q8985067;Q11626664,0.0,0.0,0.0,0,3,1,RAG,RAG
instructor-xl,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,harmonium player; presider,Q36834,Q54844699,0.0,0.0,0.0,0,1,1,RAG,RAG
instructor-xl,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,conductor; musician,Q36834;Q13424456,Q158852;Q639669,0.0,0.0,0.0,0,2,2,RAG,RAG
instructor-xl,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,violinist; conductor; composer; manager,Q36834;Q1259917;Q2675537;Q3153559,Q1259917;Q158852;Q36834;Q721834,0.5,0.5,0.5,2,2,2,RAG,RAG
instructor-xl,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; musician; music theorist; music educator; harpsichordist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q639669;Q16031530;Q16145150;Q5371902,0.6,0.42857142857142855,0.5,3,2,4,RAG,RAG
instructor-xl,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
instructor-xl,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
instructor-xl,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; virtuoso; organist; choir director; music educator; musicologist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q214970;Q765778;Q1076502;Q16145150;Q14915627,0.2857142857142857,0.2857142857142857,0.2857142857142857,2,5,5,RAG,RAG
instructor-xl,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; musician; pianist; music educator,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q639669;Q486748;Q16145150,0.8,0.4444444444444444,0.5714285714285714,4,1,5,RAG,RAG
instructor-xl,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; music educator; opera composer,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q158852;Q16145150;Q21680731,0.75,0.6,0.6666666666666665,3,1,2,RAG,RAG
instructor-xl,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
instructor-xl,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,adapter; lyricist; arranger,Q49757;Q753110,Q61875042;Q822146;Q1643514,0.0,0.0,0.0,0,3,2,RAG,RAG
