retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,composer; virtuoso,Q36834,Q36834;Q214970,0.5,1.0,0.6666666666666666,1,1,0,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,official; nobleman; administrator; Master of the Ceremonies; member of royal household,Q82955,Q599151;Q16744001;Q358832,0.0,0.0,0.0,0,3,1,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,harmonium player; musician,Q36834,Q54844699;Q639669,0.0,0.0,0.0,0,2,1,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,composer; conductor,Q36834;Q13424456,Q36834;Q158852,0.5,0.5,0.5,1,1,1,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,conductor; composer; musician,Q36834;Q1259917;Q2675537;Q3153559,Q158852;Q36834;Q639669,0.3333333333333333,0.25,0.28571428571428575,1,2,3,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,composer; musician; music educator; opera composer; harpsichordist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q639669;Q16145150;Q21680731;Q5371902,0.4,0.2857142857142857,0.3333333333333333,2,3,5,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,composer; organist,Q36834;Q765778,Q36834;Q765778,1.0,1.0,1.0,2,0,0,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,composer; musician,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,Q36834;Q639669,0.5,0.09090909090909091,0.15384615384615385,1,1,10,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,composer; organist; harpsichordist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q765778;Q5371902,1.0,0.42857142857142855,0.6,3,0,4,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,composer; conductor; pianist; music director,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q1198887,0.75,0.3333333333333333,0.46153846153846156,3,1,6,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,composer,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834,1.0,0.2,0.33333333333333337,1,0,4,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,opera composer,Q36834;Q486748;Q765778,Q21680731,0.0,0.0,0.0,0,1,3,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,lyricist; librettist; adaptor; poet,Q49757;Q753110,Q822146;Q8178443;Q49757,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,composer,Q36834;Q158852,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,composer; organist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q765778,1.0,0.2857142857142857,0.4444444444444445,2,0,5,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,organist,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q765778,0.0,0.0,0.0,0,1,6,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,principal; cellist,Q36834;Q16145150,Q7245049;Q13219637,0.0,0.0,0.0,0,2,2,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,organist,Q36834;Q765778;Q1622272;Q16145150,Q765778,1.0,0.25,0.4,1,0,3,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,composer; conductor,Q36834;Q486748;Q765778,Q36834;Q158852,0.5,0.3333333333333333,0.4,1,1,2,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,composer,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834,1.0,0.1111111111111111,0.19999999999999998,1,0,8,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,church musician; composer; organist; choir director; music educator,Q36834;Q765778;Q14915627;Q16145150;Q21680663,Q355493;Q36834;Q765778;Q1076502;Q16145150,0.6,0.6,0.6,3,2,2,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,composer; conductor,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852,1.0,0.2222222222222222,0.3636363636363636,2,0,7,RAG,RAG
gtr-xl,microsoft_phi-3-medium-128k-instruct_20250506_linked_evaluated,NIL,conductor,Q82955,Q158852,0.0,0.0,0.0,0,1,1,RAG,RAG
