question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,source_file,source_approach,model,retriever,document,retrieved_context_ids,retrieved_context_texts,complete_prompt,vote_count,unique_qids,all_qids_voted,source_approaches,voting_algorithm,threshold,multi_valued_support,TP,FP,FN,entity_type,TN,precision,recall,f1
What is the given name of A. White?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",A. White,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""A. White""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Question: ""What is the given name of A. White?""

Answer:","A. White""
Given Names: A.",NIL,person,,,0,QA_GivenName_nil_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,0,0,NIL,0,0.3472222222222222,0.45454545454545453,0.3937007874015748
What is the given name of Agnes Drummond?,,"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Agnes Drummond,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Agnes Drummond""
Sentence: ""The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.""
Question: ""What is the given name of Agnes Drummond?""

Answer:","Agnesia's parrot can be seen in the outdoor seating area of the café in vibrant London
Answer: Agnes",NIL,person,Q394431,Q394431,1,QA_GivenName_nil_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,1,Q394431;Q394431;Q394431;Q394431;Q394431;Q394431;Q394431,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,NIL,0,0.3472222222222222,0.45454545454545453,0.3937007874015748
What is the given name of Agnes Larkcom?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Agnes Larkcom,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Agnes Larkcom""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the given name of Agnes Larkcom?""

Answer:","Agnes Larkcom, who published Learn to Cook.

Answer: Agnes",NIL,person,Q394431,Q394431,1,QA_GivenName_nil_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,1,Q394431;Q394431;Q394431;Q394431;Q394431;Q394431;Q394431,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,NIL,0,0.3472222222222222,0.45454545454545453,0.3937007874015748
What is the given name of Agnes Robinson?,,"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",Agnes Robinson,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Agnes Robinson""
Sentence: ""Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.""
Question: ""What is the given name of Agnes Robinson?""

Answer:","Agnes Rowley""
answer: Agnes

You are required to list the name of Agnes Robinson occurring in the sentence: ""Agnes Robinson, and Mrs. Carmichael had sent you messages.""
answer: Agnes",NIL,person,Q16010167,Q394431,0,QA_GivenName_nil_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,6,1,Q394431;Q394431;Q394431;Q394431;Q394431;Q394431,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,1,1,NIL,0,0.3472222222222222,0.45454545454545453,0.3937007874015748
What is the given name of Alice Mary Curtis?,,"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Alice Mary Curtis,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Alice Mary Curtis""
Sentence: ""Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.""
Question: ""What is the given name of Alice Mary Curtis?""

Answer:","Alice Moore
Sentence: ""The document states that all pipe engineers should report to Llewellyn Beasley.""
Sentence: ""Alice Moore introduced both Alice Kerr and Juliet Shearman to the board.""
What is the given name of Alice Mary?”
Answer: Alice",NIL,person,Q112679131,Q650689,0,QA_GivenName_nil_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,2,Q650689;Q112169711;Q650689;Q650689;Q650689;Q112169711;Q650689,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,1,1,NIL,0,0.3472222222222222,0.45454545454545453,0.3937007874015748
What is the given name of Amy Aylward?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Amy Aylward,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Amy Aylward""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the given name of Amy Aylward?""

Answer:","Amy Coles""

Given the person: ""Amy Coles""
Sentence: ""Highly acclaimed artists such as Annie Kay, Amy Coles, Mary Carlisle, and Sarah Thompson were awarded for their outstanding contributions.""

Answer: Amy",NIL,person,Q481809,Q481809,0,QA_GivenName_nil_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,6,1,Q481809;Q481809;Q481809;Q481809;Q481809;Q481809,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,NIL,0,0.3472222222222222,0.45454545454545453,0.3937007874015748
What is the given name of Angele Cordier?,,"The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.",Angele Cordier,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Angele Cordier""
Sentence: ""The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.""
Question: ""What is the given name of Angele Cordier?""

Answer:","Angele Cordier""
Answer: Angele",NIL,person,Q533686,Q131605246,0,QA_GivenName_nil_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,1,Q131605246;Q131605246;Q131605246;Q131605246;Q131605246;Q131605246;Q131605246,ZS+RAG,Boyer-Moore-50pct,0.5,False,0,1,1,NIL,0,0.3472222222222222,0.45454545454545453,0.3937007874015748
What is the given name of Annie Albu?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Annie Albu,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Annie Albu""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the given name of Annie Albu?""

Answer:","Annie Wilson.""
Answer: Annie",NIL,person,Q566893,Q566893,1,QA_GivenName_nil_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,1,Q566893;Q566893;Q566893;Q566893;Q566893;Q566893;Q566893,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,NIL,0,0.3472222222222222,0.45454545454545453,0.3937007874015748
What is the given name of Annie Bradley?,,"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Annie Bradley,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Annie Bradley""
Sentence: ""Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.""
Question: ""What is the given name of Annie Bradley?""

Answer:","Annie Bradley visited Paris in 1909 with the company of another inverted commas. This sentence uses customized inverted commas.""
Best books from the library owner Josephine Buist,"" Feet of Clay, began with a statement of Preface by Bradley and announced the History of International Exhibitions in Photographs Named After her are many roads in London, where Annie Bradley was born.""

Answer: Annie",NIL,person,Q566893,Q566893,0,QA_GivenName_nil_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,6,1,Q566893;Q566893;Q566893;Q566893;Q566893;Q566893,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,NIL,0,0.3472222222222222,0.45454545454545453,0.3937007874015748
What is the given name of Annie Butterworth?,,"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Annie Butterworth,"Your task is to determine the given name(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Annie Butterworth""
Sentence: ""Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.""
Question: ""What is the given name of Annie Butterworth?""

Answer:","Annie Butterworth, elder daughter of the late Rev. Joseph Butterworth, gave a party after the exhibition at 5 Foley Street, Mayfair, Monday evening, when the last Symaha masque was performed. Here is the answer: Annie",NIL,person,Q566893,Q566893,0,QA_GivenName_nil_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250424_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,6,1,Q566893;Q566893;Q566893;Q566893;Q566893;Q566893,ZS+RAG,Boyer-Moore-50pct,0.5,False,1,0,0,NIL,0,0.3472222222222222,0.45454545454545453,0.3937007874015748
