Model,Retriever,Exact
Boyer-M,Boyer-M,0.058823529411764705
GPT-4o,Boyer-M,0.058823529411764705
GPT-4o,-,0.058823529411764705
GPT-4o,BGE,0.058823529411764705
GPT-4o,BM25,0.058823529411764705
GPT-4o,Inst,0.058823529411764705
GPT-4o,Contr,0.058823529411764705
GPT-4o,GTR-X,0.058823529411764705
GPT-4o,GTR-L,0.058823529411764705
Gemma,Boyer-M,0.058823529411764705
Gemma,-,0.058823529411764705
Gemma,BGE,0.058823529411764705
Gemma,BM25,0.058823529411764705
Gemma,Inst,0.17647058823529413
Gemma,Contr,0.11764705882352941
Gemma,GTR-X,0.058823529411764705
Gemma,GTR-L,0.058823529411764705
LLAMA,Boyer-M,0.11764705882352941
LLAMA,-,0.11764705882352941
LLAMA,BGE,0.11764705882352941
LLAMA,BM25,0.058823529411764705
LLAMA,Inst,0.11764705882352941
LLAMA,Contr,0.11764705882352941
LLAMA,GTR-X,0.058823529411764705
LLAMA,GTR-L,0.11764705882352941
Mixtral,Boyer-M,0.058823529411764705
Mixtral,-,0.058823529411764705
Mixtral,BGE,0.058823529411764705
Mixtral,BM25,0.058823529411764705
Mixtral,Inst,0.058823529411764705
Mixtral,Contr,0.0
Mixtral,GTR-X,0.0
Mixtral,GTR-L,0.058823529411764705
Phi-3,Boyer-M,0.058823529411764705
Phi-3,-,0.058823529411764705
Phi-3,BGE,0.058823529411764705
Phi-3,BM25,0.0
Phi-3,Inst,0.0
Phi-3,Contr,0.058823529411764705
Phi-3,GTR-X,0.058823529411764705
Phi-3,GTR-L,0.058823529411764705
Qwen,Boyer-M,0.058823529411764705
Qwen,-,0.11764705882352941
Qwen,BGE,0.11764705882352941
Qwen,BM25,0.058823529411764705
Qwen,Inst,0.058823529411764705
Qwen,Contr,0.11764705882352941
Qwen,GTR-X,0.11764705882352941
Qwen,GTR-L,0.11764705882352941
