question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,source_file,source_approach,model,retriever,document,retrieved_context_ids,retrieved_context_texts,complete_prompt,vote_count,unique_qids,all_qids_voted,source_approaches,voting_algorithm,threshold,multi_valued_support,TP,FP,FN,entity_type,TN,gold_years,linked_years,common_years,precision,recall,f1
What is the date of birth of A. Randegger?,1832-04-13T00:00:00Z,"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",A. Randegger,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""A. Randegger""
Sentence: ""G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.""
Question: ""What is the date of birth of A. Randegger?""

Answer:",1802-01-01T00:00:00Z,Q4712167,person,1832-04-13T00:00:00Z,,QA_DoB_QID_noctx_openrouter_openai_gpt-4o-mini_20250424_linked_evaluated.csv,ZS,openai_gpt-4o-mini,,,,,,7,7,1802-01-01;1826-10-06;1823-04-18;1810-01-01;1827-01-01;1828-02-25;1825-03-15,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,,,,0.8444444444444444,0.26902654867256637,0.4080536912751678
What is the date of birth of Abel?,1723-12-22T00:00:00Z,"Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.",Abel,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Abel""
Sentence: ""Fischer then passed to Italy, and from thence to England, where (in 1769) he formed one of those solo. performers with Abel, Cramer, Crosdill, and Cervetto, for whom John Christian Bach, then in England, wrote solos in his concertos when his - hand was likely to tire or he wanted support.""
Question: ""What is the date of birth of Abel?""

Answer:",1723-01-27T00:00:00Z,Q168539,person,1723-12-22T00:00:00Z,,QA_DoB_QID_noctx_openrouter_openai_gpt-4o-mini_20250424_linked_evaluated.csv,ZS,openai_gpt-4o-mini,,,,,,7,5,1723-01-27;1723-12-17;1750-01-01;1750-01-01;1723-06-01;1723-03-20;1750-01-01,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,,,,0.8444444444444444,0.26902654867256637,0.4080536912751678
What is the date of birth of Addison?,1672-05-01T00:00:00Z,"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Addison,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Addison""
Sentence: ""Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.""
Question: ""What is the date of birth of Addison?""

Answer:",1672-05-01T00:00:00Z,Q206384,person,1672-05-01T00:00:00Z,1672-05-01,QA_DoB_QID_noctx_openrouter_openai_gpt-4o-mini_20250424_linked_evaluated.csv,ZS,openai_gpt-4o-mini,,,,,,7,1,1672-05-01;1672-05-01;1672-05-01;1672-05-01;1672-05-01;1672-05-01;1672-05-01,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,QID,0,1672,1672,1672,0.8444444444444444,0.26902654867256637,0.4080536912751678
What is the date of birth of Adelaide Phillips?,1833-10-26T00:00:00Z,"A pleasing ballad, with fine melody, sung by Adelaide Phillips.",Adelaide Phillips,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Adelaide Phillips""
Sentence: ""A pleasing ballad, with fine melody, sung by Adelaide Phillips.""
Question: ""What is the date of birth of Adelaide Phillips?""

Answer:",1861-05-18T00:00:00Z,Q4681758,person,1833-10-26T00:00:00Z,,QA_DoB_QID_noctx_openrouter_openai_gpt-4o-mini_20250424_linked_evaluated.csv,ZS,openai_gpt-4o-mini,,,,,,7,7,1861-05-18;1833-03-04;1825-09-13;1846-02-15;1812-06-14;1821-12-24;1822-03-25,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,,,,0.8444444444444444,0.26902654867256637,0.4080536912751678
What is the date of birth of Adelina Patti?,1843-02-19T00:00:00Z,Adelina Patti — for that will continue to be her professional.,Adelina Patti,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Adelina Patti""
Sentence: ""Adelina Patti — for that will continue to be her professional.""
Question: ""What is the date of birth of Adelina Patti?""

Answer:",1843-02-19T00:00:00Z,Q234166,person,1843-02-19T00:00:00Z,1843-02-19,QA_DoB_QID_noctx_openrouter_openai_gpt-4o-mini_20250424_linked_evaluated.csv,ZS,openai_gpt-4o-mini,,,,,,28,3,1843-02-19;1843-02-10;1843-02-19;1843-02-19;1843-04-09;1843-02-10;1843-02-19;1843-04-09;1843-02-19;1843-02-10;1843-02-19;1843-02-19;1843-02-19;1843-02-10;1843-02-19;1843-04-09;1843-02-19;1843-02-10;1843-02-19;1843-02-19;1843-04-09;1843-02-10;1843-02-19;1843-02-19;1843-04-09;1843-02-19;1843-02-19;1843-04-09,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,QID,0,1843,1843,1843,0.8444444444444444,0.26902654867256637,0.4080536912751678
What is the date of birth of Adolphe Adam?,1803-07-24T00:00:00Z,"Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.",Adolphe Adam,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Adolphe Adam""
Sentence: ""Adolphe Adam, the composer of Le Postillon de Lonjumeau, was the first to apostrophize the acquirements of M. Vivier, ina Jengthened artiele in the France Wusicale; he has been followed by the rest of them, and last week, in the Gazelle AZusicale, we find a paper by Maurice Bourges, which makes M. Vivier something less than a demi - god, and extols his qualifications, in language, which applied to would be M. Bourges melts Paganini himself, nothing short of hyperbolical.""
Question: ""What is the date of birth of Adolphe Adam?""

Answer:",1803-07-24T00:00:00Z,Q189544,person,1803-07-24T00:00:00Z,1803-07-24,QA_DoB_QID_noctx_openrouter_openai_gpt-4o-mini_20250424_linked_evaluated.csv,ZS,openai_gpt-4o-mini,,,,,,7,1,1803-07-24;1803-07-24;1803-07-24;1803-07-24;1803-07-24;1803-07-24;1803-07-24,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,QID,0,1803,1803,1803,0.8444444444444444,0.26902654867256637,0.4080536912751678
What is the date of birth of Agazzari?,1578-12-12T00:00:00Z,"The first chapter in the volume begins by mentioning Emilio del Cavalieri’s ‘Rappresentatione di anima e di corpo,’ with which the new style of music made its entry into Rome in the year 1600, and then he goes on to show how varied melody, choral polyphony, the lied form, the aria, new tonality, and a feeling for unity were. gradually introduced and developed by such composers as Agazzari, Marco da Gagliano, Stefano Landi (whose works show important advance in form, instrumentation, and characterisation), Michelangelo, Rossi, & c.",Agazzari,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Agazzari""
Sentence: ""The first chapter in the volume begins by mentioning Emilio del Cavalieri’s ‘Rappresentatione di anima e di corpo,’ with which the new style of music made its entry into Rome in the year 1600, and then he goes on to show how varied melody, choral polyphony, the lied form, the aria, new tonality, and a feeling for unity were. gradually introduced and developed by such composers as Agazzari, Marco da Gagliano, Stefano Landi (whose works show important advance in form, instrumentation, and characterisation), Michelangelo, Rossi, & c.""
Question: ""What is the date of birth of Agazzari?""

Answer:",1578-01-01T00:00:00Z,Q395563,person,1578-12-12T00:00:00Z,1578-01-01,QA_DoB_QID_noctx_openrouter_openai_gpt-4o-mini_20250424_linked_evaluated.csv,ZS,openai_gpt-4o-mini,,,,,,7,1,1578-01-01;1578-01-01;1578-01-01;1578-01-01;1578-01-01;1578-01-01;1578-01-01,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,QID,0,1578,1578,1578,0.8444444444444444,0.26902654867256637,0.4080536912751678
What is the date of birth of Alberto Randegger?,1832-04-13T00:00:00Z,", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",Alberto Randegger,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Alberto Randegger""
Sentence: "", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].""
Question: ""What is the date of birth of Alberto Randegger?""

Answer:",1821-06-20T00:00:00Z,Q4712167,person,1832-04-13T00:00:00Z,,QA_DoB_QID_noctx_openrouter_openai_gpt-4o-mini_20250424_linked_evaluated.csv,ZS,openai_gpt-4o-mini,,,,,,7,7,1821-06-20;1822-09-29;1835-03-10;1825-09-09;1824-01-01;1832-10-20;1823-09-06,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,QID,0,,,,0.8444444444444444,0.26902654867256637,0.4080536912751678
What is the date of birth of Albinoni?,1671-06-08T00:00:00Z,"Immediately in their footsteps appeared those great harmonists Gaetano Greco, Albinoni Caldara,",Albinoni,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Albinoni""
Sentence: ""Immediately in their footsteps appeared those great harmonists Gaetano Greco, Albinoni Caldara,""
Question: ""What is the date of birth of Albinoni?""

Answer:",1671-06-14T00:00:00Z,Q174606,person,1671-06-08T00:00:00Z,1671-06-14,QA_DoB_QID_noctx_openrouter_openai_gpt-4o-mini_20250424_linked_evaluated.csv,ZS,openai_gpt-4o-mini,,,,,,7,3,1671-06-14;1670-06-08;1671-06-14;1671-06-14;1671-06-14;1671-06-14;1694-06-01,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,QID,0,1671,1671,1671,0.8444444444444444,0.26902654867256637,0.4080536912751678
What is the date of birth of Alessandro Scarlatti?,1660-05-02T00:00:00Z,"He was born in Naples, where he studied the rudiments of music under Alessandro Scarlatti and Nicolo Porpora.",Alessandro Scarlatti,"Your task is to determine the date of birth of a given person occurring in a given sentence. Your answer MUST consist solely of a date of birth (e.g., ""1728-05-11T00:00:00Z"") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Gavinies"" occurring in the sentence ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs."",
answer the following question: ""What is the date of birth of Gavinies?""
Answer:1728-05-11T00:00:00Z

Now, given the following inputs:
Person: ""Alessandro Scarlatti""
Sentence: ""He was born in Naples, where he studied the rudiments of music under Alessandro Scarlatti and Nicolo Porpora.""
Question: ""What is the date of birth of Alessandro Scarlatti?""

Answer:",1660-05-02T00:00:00Z,Q183087,person,1660-05-02T00:00:00Z,1660-05-02,QA_DoB_QID_noctx_openrouter_openai_gpt-4o-mini_20250424_linked_evaluated.csv,ZS,openai_gpt-4o-mini,,,,,,7,1,1660-05-02;1660-05-02;1660-05-02;1660-05-02;1660-05-02;1660-05-02;1660-05-02,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,QID,0,1660,1660,1660,0.8444444444444444,0.26902654867256637,0.4080536912751678
