retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
bm25,qwen_qwen-2,NIL,violinist; composer; performer; accompanist; music educator,Q36834,Q1259917;Q36834;Q713200;Q29448653;Q16145150,0.2,1.0,0.33333333333333337,1,4,0,RAG,RAG
bm25,qwen_qwen-2,NIL,government official; courtier; nobleman; administrator,Q82955,Q8985067;Q1511216;Q16744001;Q358832,0.0,0.0,0.0,0,4,1,RAG,RAG
bm25,qwen_qwen-2,NIL,harmonium player,Q36834,Q54844699,0.0,0.0,0.0,0,1,1,RAG,RAG
bm25,qwen_qwen-2,NIL,conductor; organist,Q36834;Q13424456,Q158852;Q765778,0.0,0.0,0.0,0,2,2,RAG,RAG
bm25,qwen_qwen-2,NIL,musician; violinist; composer; concertmaster; manager; leader of the Opera band,Q36834;Q1259917;Q2675537;Q3153559,Q639669;Q1259917;Q36834;Q691031;Q721834,0.4,0.5,0.4444444444444445,2,3,2,RAG,RAG
bm25,qwen_qwen-2,NIL,composer; musician; harpsichordist; educator; balletopera creator,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q639669;Q5371902;Q974144,0.5,0.2857142857142857,0.36363636363636365,2,2,5,RAG,RAG
bm25,qwen_qwen-2,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
bm25,qwen_qwen-2,NIL,composer; organist; virtuoso; conductor; music educator; harpsichordist; choir director; violinist; school teacher; musicologist,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
bm25,qwen_qwen-2,NIL,composer; conductor; virtuoso; organist; harpsichordist; music educator,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q214970;Q765778;Q5371902;Q16145150,0.5,0.42857142857142855,0.4615384615384615,3,3,4,RAG,RAG
bm25,qwen_qwen-2,NIL,composer; conductor; pianist; organist; teacher; musicologist; music educator,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q37226;Q14915627;Q16145150,0.8571428571428571,0.6666666666666666,0.75,6,1,3,RAG,RAG
bm25,qwen_qwen-2,NIL,composer; organist,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q765778,0.5,0.2,0.28571428571428575,1,1,4,RAG,RAG
bm25,qwen_qwen-2,NIL,composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
bm25,qwen_qwen-2,NIL,adaptor; lyricist,Q49757;Q753110,Q822146,0.0,0.0,0.0,0,1,2,RAG,RAG
