retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; violinist; performer; music publisher,Q36834,Q36834;Q1259917;Q713200;Q222836,0.25,1.0,0.4,1,3,0,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,official; royal official; theatrical manager,Q82955,Q599151;Q1776724,0.0,0.0,0.0,0,2,1,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,harmonium player; musician,Q36834,Q54844699;Q639669,0.0,0.0,0.0,0,2,1,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,conductor; organist,Q36834;Q13424456,Q158852;Q765778,0.0,0.0,0.0,0,2,2,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,violinist; conductor; composer; theatre manager,Q36834;Q1259917;Q2675537;Q3153559,Q1259917;Q158852;Q36834;Q1776724,0.5,0.5,0.5,2,2,2,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; music theorist; pianist; harpsichordist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q16031530;Q486748;Q5371902,0.75,0.42857142857142855,0.5454545454545454,3,1,4,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; organist; music educator; musicologist; virtuoso; choir director; school teacher; harpsichordist; violinist,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; keyboardist; orchestrator; organist,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q1075651;Q3355249;Q765778,0.4,0.2857142857142857,0.3333333333333333,2,3,5,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; pianist; music educator; organist; musicologist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q16145150;Q765778;Q14915627,1.0,0.6666666666666666,0.8,6,0,3,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; music educator,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q158852;Q16145150,1.0,0.6,0.7499999999999999,3,0,2,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; organist; music educator,Q36834;Q486748;Q765778,Q36834;Q765778;Q16145150,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,adapter; lyricist,Q49757;Q753110,Q61875042;Q822146,0.0,0.0,0.0,0,2,2,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,arranger; composer; musician,Q36834;Q158852,Q1643514;Q36834;Q639669,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; musician; conductor,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q639669;Q158852,0.3333333333333333,0.14285714285714285,0.2,1,2,6,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,musician; organist; composer,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q639669;Q765778;Q36834,0.3333333333333333,0.16666666666666666,0.2222222222222222,1,2,5,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,musician; organist; conductor; music educator,Q36834;Q16145150,Q639669;Q765778;Q158852;Q16145150,0.25,0.5,0.3333333333333333,1,3,1,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; organist,Q36834;Q765778;Q1622272;Q16145150,Q36834;Q765778,1.0,0.5,0.6666666666666666,2,0,2,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; pianist; organist; music educator,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q16145150,1.0,0.5555555555555556,0.7142857142857143,5,0,4,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; musician; pianist; opera composer; music educator,Q36834;Q765778;Q14915627;Q16145150;Q21680663,Q36834;Q158852;Q639669;Q486748;Q21680731;Q16145150,0.3333333333333333,0.4,0.3636363636363636,2,4,3,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; pianist; organist; music educator,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q16145150,1.0,0.5555555555555556,0.7142857142857143,5,0,4,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,noble; patron of the arts,Q82955,Q16744001;Q15472169,0.0,0.0,0.0,0,2,1,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,musicologist; composer; music publisher; author; critic,Q36180;Q36834;Q201788;Q765778;Q5371902;Q14915627;Q20198542,Q14915627;Q36834;Q222836;Q482980;Q6430706,0.4,0.2857142857142857,0.3333333333333333,2,3,5,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; musicologist,Q36834;Q158852,Q36834;Q158852;Q14915627,0.6666666666666666,1.0,0.8,2,1,0,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; pianist; organist; music educator,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q16145150,1.0,0.5555555555555556,0.7142857142857143,5,0,4,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; musician,Q639669;Q1028181,Q36834;Q639669,0.5,0.5,0.5,1,1,1,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; opera composer,Q36834;Q158852;Q486748;Q855091;Q1350157;Q24067349,Q36834;Q158852;Q21680731,0.6666666666666666,0.3333333333333333,0.4444444444444444,2,1,4,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; conductor; pianist; organist; music educator,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q16145150,1.0,0.5555555555555556,0.7142857142857143,5,0,4,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,journalist; editor,Q1930187,Q1930187;Q1607826,0.5,1.0,0.6666666666666666,1,1,0,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; pianist; connoisseur pianist,Q36834,Q36834;Q486748,0.5,1.0,0.6666666666666666,1,1,0,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer,Q36834;Q158852;Q14915627;Q16145150;Q18931911;Q19723482,Q36834,1.0,0.16666666666666666,0.2857142857142857,1,0,5,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer,Q36834;Q37226;Q177220;Q486748;Q16145150,Q36834,1.0,0.2,0.33333333333333337,1,0,4,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; arranger; pianist,Q36834;Q1259917,Q36834;Q1643514;Q486748,0.3333333333333333,0.5,0.4,1,2,1,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer,Q36834;Q639669,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,composer; musician; arranger,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q639669;Q1643514,0.3333333333333333,0.2,0.25,1,2,4,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,poet; librettist,Q36180;Q49757;Q214917;Q250867;Q753110;Q8178443,Q49757;Q8178443,1.0,0.3333333333333333,0.5,2,0,4,RAG,RAG
bm25,openai_gpt-4o-mini_20250505_linked_evaluated,NIL,psalmist; poet; translator,Q36180;Q49757;Q333634,Q49757;Q333634,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
