retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
bm25,meta-llama_llama-3,NIL,composer; violinist; accompanist; musician; concert performer,Q36834,Q36834;Q1259917;Q29448653;Q639669,0.25,1.0,0.4,1,3,0,RAG,RAG
bm25,meta-llama_llama-3,NIL,court official; administrative officer; royal advisor; ceremonial officer; government official; bureaucrat; dignitary; nobleman; aristocrat; high commissioner,Q82955,,0.0,0.0,0.0,0,0,1,RAG,RAG
bm25,meta-llama_llama-3,NIL,organist; musician; harmonium player,Q36834,Q765778;Q639669;Q54844699,0.0,0.0,0.0,0,3,1,RAG,RAG
bm25,meta-llama_llama-3,NIL,conductor; organist; music director,Q36834;Q13424456,Q158852;Q765778;Q1198887,0.0,0.0,0.0,0,3,2,RAG,RAG
bm25,meta-llama_llama-3,NIL,violinist; composer; conductor; leader; manager; musician,Q36834;Q1259917;Q2675537;Q3153559,Q1259917;Q36834;Q158852;Q1251441;Q721834;Q639669,0.3333333333333333,0.5,0.4,2,4,2,RAG,RAG
bm25,meta-llama_llama-3,NIL,composer; harpsichordist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q5371902,1.0,0.2857142857142857,0.4444444444444445,2,0,5,RAG,RAG
bm25,meta-llama_llama-3,NIL,chorister; lay-clerk; singing-man; organist,Q36834;Q765778,Q1076502;Q765778,0.5,0.5,0.5,1,1,1,RAG,RAG
bm25,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
bm25,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,,0.0,0.0,0.0,0,0,7,RAG,RAG
bm25,meta-llama_llama-3,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; pianist; music educator; violist; cellist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,9,RAG,RAG
bm25,meta-llama_llama-3,NIL,composer; conductor,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q158852,1.0,0.4,0.5714285714285715,2,0,3,RAG,RAG
bm25,meta-llama_llama-3,NIL,composer; organist,Q36834;Q486748;Q765778,Q36834;Q765778,1.0,0.6666666666666666,0.8,2,0,1,RAG,RAG
bm25,meta-llama_llama-3,NIL,lyricist; songwriter; poet; librettist; adaptor,Q49757;Q753110,Q822146;Q753110;Q49757;Q8178443,0.5,1.0,0.6666666666666666,2,2,0,RAG,RAG
bm25,meta-llama_llama-3,NIL,arranger; composer; musician; accompanist,Q36834;Q158852,Q1643514;Q36834;Q639669;Q29448653,0.25,0.5,0.3333333333333333,1,3,1,RAG,RAG
bm25,meta-llama_llama-3,NIL,composer; musician,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q639669,0.5,0.14285714285714285,0.22222222222222224,1,1,6,RAG,RAG
bm25,meta-llama_llama-3,NIL,violinist,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q1259917,0.0,0.0,0.0,0,1,6,RAG,RAG
bm25,meta-llama_llama-3,NIL,musician; harpist,Q36834;Q16145150,Q639669;Q3127709,0.0,0.0,0.0,0,2,2,RAG,RAG
bm25,meta-llama_llama-3,NIL,composer; organist,Q36834;Q765778;Q1622272;Q16145150,Q36834;Q765778,1.0,0.5,0.6666666666666666,2,0,2,RAG,RAG
bm25,meta-llama_llama-3,NIL,organist; composer; musician,Q36834;Q486748;Q765778,Q765778;Q36834;Q639669,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,RAG,RAG
