retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,composer; violinist,Q36834,Q36834;Q1259917,0.5,1.0,0.6666666666666666,1,1,0,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,official; lord; government administrator; noble,Q82955,Q599151;Q57979691;Q16744001,0.0,0.0,0.0,0,3,1,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,harmonium player; presiding officer,Q36834,Q54844699;Q140686,0.0,0.0,0.0,0,2,1,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,conductor,Q36834;Q13424456,Q158852,0.0,0.0,0.0,0,1,2,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,manager,Q36834;Q1259917;Q2675537;Q3153559,Q721834,0.0,0.0,0.0,0,1,4,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,composer; music theorist; harpsichordist; conductor,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q16031530;Q5371902;Q158852,0.75,0.42857142857142855,0.5454545454545454,3,1,4,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,chorister; lay-clerk; singing-man,Q36834;Q765778,Q1076502,0.0,0.0,0.0,0,1,2,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,composer; conductor; musicologist; virtuoso; keyboardist; opera composer,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,Q36834;Q158852;Q14915627;Q214970;Q1075651;Q21680731,0.3333333333333333,0.2857142857142857,0.30769230769230765,2,4,5,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,composer; conductor; pianist; organist; music educator; musical director; musicologist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q16145150;Q1198887;Q14915627,0.8571428571428571,0.6666666666666666,0.75,6,1,3,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,composer; conductor; music educator,Q36834;Q158852;Q14915627;Q16031530;Q16145150,Q36834;Q158852;Q16145150,1.0,0.6,0.7499999999999999,3,0,2,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,composer; organist; music educator,Q36834;Q486748;Q765778,Q36834;Q765778;Q16145150,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,adapter; arranger,Q49757;Q753110,Q61875042;Q1643514,0.0,0.0,0.0,0,2,2,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,arranger; composer,Q36834;Q158852,Q1643514;Q36834,0.5,0.5,0.5,1,1,1,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,composer; music theorist; playwright; musician; conductor; harpsichordist,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q16031530;Q214917;Q639669;Q158852;Q5371902,0.5,0.42857142857142855,0.4615384615384615,3,3,4,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,principal,Q36834;Q118865;Q12800682;Q14915627;Q16145150;Q97572814,Q7245049,0.0,0.0,0.0,0,1,6,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,principal,Q36834;Q16145150,Q7245049,0.0,0.0,0.0,0,1,2,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,composer; organist; conductor; music educator,Q36834;Q765778;Q1622272;Q16145150,Q36834;Q765778;Q158852;Q16145150,0.75,0.75,0.75,3,1,1,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,composer; organist; musician,Q36834;Q486748;Q765778,Q36834;Q765778;Q639669,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,ZS,ZS
zero-shot,openai_gpt-4o-mini_20250423_linked_evaluated,NIL,composer; conductor; pianist; music educator; organist; conductor; musicologist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q16145150;Q765778;Q158852;Q14915627,1.0,0.6666666666666666,0.8,6,0,3,ZS,ZS
