retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; conductor; music educator,Q36834;Q37226;Q158852;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,performer; musician; composer,Q36834;Q19760296,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,essayist; poet; playwright; politician; literary critic,Q36180;Q49757;Q82955;Q214917;Q1607826;Q1930187;Q3589290;Q8178443;Q11774202,,0.0,0.0,0.0,0,0,9,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,singer; vocalist,Q33999;Q2259451;Q2865819,Q177220,0.0,0.0,0.0,0,1,3,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,singer; opera singer; soprano,Q36834;Q2865819,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer,Q36834;Q486748;Q1350157;Q6430706;Q16145150,Q36834,1.0,0.2,0.33333333333333337,1,0,4,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer,Q36834;Q765778;Q14915627;Q16031530,Q36834,1.0,0.25,0.4,1,0,3,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; conductor; musician,Q36834;Q37226;Q158852;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer,Q36180;Q36834;Q214917;Q1259917;Q2962003,,0.0,0.0,0.0,0,0,5,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; musician; opera composer; music educator,Q36834;Q5371902,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,musician; string player; performer,Q639669,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,singer; vocalist,Q2865819,Q177220;Q2643890,0.0,0.0,0.0,0,2,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,musician; violinist; violist; cellist,Q36834;Q1259917,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,poet; playwright; songwriter; collector of Scottish songs,Q36180;Q49757;Q182436;Q8178443,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,poet; lyricist; songwriter,Q36180;Q49757;Q609016;Q26237228,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,violinist,Q36834;Q158852,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,clarinettist,Q36834;Q118865;Q639669,Q118865,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,singer; composer,Q2865819,Q36834;Q177220,0.0,0.0,0.0,0,2,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; violinist,Q36834;Q899758;Q1259917,,0.0,0.0,0.0,0,0,3,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,archbishop,Q42603,Q49476,0.0,0.0,0.0,0,1,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,poet; playwright; novelist,Q49757;Q214917,Q214917,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,principal,Q36834;Q486748;Q753110;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,conductor; composer; music educator,Q36834;Q158852;Q765778;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; pianist,Q36834;Q158852;Q14915627;Q16145150;Q18931911;Q19723482,Q36834,1.0,0.16666666666666666,0.2857142857142857,1,0,5,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; conductor,Q36834;Q1231865;Q2490358;Q14915627,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; songwriter; librettist,Q36834;Q158852;Q177220;Q753110;Q2865819,,0.0,0.0,0.0,0,0,5,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; conductor; organist; music educator,Q36834;Q16145150,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,theatrical performer; actor; singer; playwright; producer,Q943995,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer,Q36834;Q639669,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; organist; conductor; music educator,Q36834;Q765778;Q1622272;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; conductor; pianist; music educator; symphonist,Q36834,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; operatic composer,Q36834,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; musician; songwriter,Q36834,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,singer; tenor,Q177220;Q639669;Q2865819,,0.0,0.0,0.0,0,0,3,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; author; musician; theorist,Q36180;Q36834;Q37226;Q49757,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,vocalist; singer,Q36834;Q158852;Q486748;Q1622272;Q16145150,,0.0,0.0,0.0,0,0,5,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,chorister; lay-clerk; singing-man,Q36834;Q765778,Q1076502,0.0,0.0,0.0,0,1,2,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; musician; director,Q36834;Q765778,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer,Q36834;Q158852,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; musician; organist,Q36834;Q177220;Q765778;Q16145150,,0.0,0.0,0.0,0,0,4,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; operatist,Q36834;Q158852;Q1622272;Q14915627;Q16145150;Q21680731,,0.0,0.0,0.0,0,0,6,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer,Q36834;Q13219637,Q36834,1.0,0.5,0.6666666666666666,1,0,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer; musician,Q36834,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer,Q36834;Q486748,,0.0,0.0,0.0,0,0,2,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,vocalist; singer; performer,Q2865819,,0.0,0.0,0.0,0,0,1,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,publisher; music publisher,Q36834;Q37226;Q175151;Q182436;Q2516866;Q40881196,Q2516866,1.0,0.16666666666666666,0.2857142857142857,1,0,5,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,musician; composer; conductor,Q36834;Q486748;Q16145150,,0.0,0.0,0.0,0,0,3,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,Principal,Q36834;Q486748;Q16145150,,0.0,0.0,0.0,0,0,3,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,poet; playwright; translator,Q36180;Q49757;Q131512;Q753110;Q14915627,,0.0,0.0,0.0,0,0,5,RAG,RAG
boyer_moore_per_model,openai_gpt-4o-mini,NIL,composer,Q36834;Q486748;Q1643514,Q36834,1.0,0.3333333333333333,0.5,1,0,2,RAG,RAG
